timestamp,temperature_c,humidity_pct,pressure_hpa,rainfall_mm
0h 5m 0s,24.6,69.3,977.1,0.0000
0h 10m 0s,25.2,66.6,977.2,0.0000
0h 15m 0s,25.5,65.4,977.3,0.0000
0h 20m 0s,25.7,64.7,977.3,0.0000
0h 25m 0s,25.7,64.6,977.3,0.2794
0h 30m 0s,25.8,64.4,977.4,0.0000
0h 35m 0s,25.9,64.3,977.2,0.0000
0h 40m 0s,25.9,64.3,977.1,0.0000
0h 45m 0s,25.9,64.1,977.3,0.5588
0h 50m 0s,26.0,64.1,977.2,0.0000
0h 55m 0s,26.1,64.3,977.2,0.0000
1h 0m 0s,26.1,64.2,977.1,0.0000
1h 5m 0s,26.2,64.2,977.2,0.0000
1h 10m 0s,26.2,64.1,977.1,0.0000
1h 15m 0s,26.3,64.0,977.1,0.0000
1h 20m 0s,26.4,63.9,977.2,0.0000
1h 25m 0s,26.4,63.9,977.2,0.0000
1h 30m 0s,26.4,64.0,977.1,0.0000
1h 35m 0s,26.5,64.0,977.2,0.0000
1h 40m 0s,26.5,64.0,977.1,0.0000
1h 45m 0s,26.5,64.0,977.1,0.0000
1h 50m 0s,26.5,64.0,977.0,0.0000
1h 55m 0s,26.5,64.0,976.9,0.0000
2h 0m 0s,26.4,64.1,977.0,0.0000
2h 5m 0s,26.5,63.9,976.9,0.0000
2h 10m 0s,26.5,63.7,977.0,0.0000
2h 15m 0s,26.4,64.1,976.9,0.2794
2h 20m 0s,26.4,63.9,976.9,0.0000
2h 25m 0s,26.4,63.9,976.8,0.0000
2h 30m 0s,26.4,63.9,976.8,0.0000
2h 35m 0s,26.4,63.9,976.8,0.0000
2h 40m 0s,26.4,63.9,976.7,0.0000
2h 45m 0s,26.5,63.7,976.9,0.0000
2h 50m 0s,26.5,63.6,976.8,0.0000
2h 55m 0s,26.6,63.5,976.8,0.0000
3h 0m 0s,26.6,63.5,976.7,0.0000
3h 5m 0s,26.6,63.4,976.7,0.0000
3h 10m 0s,26.9,62.6,976.7,0.0000
3h 15m 0s,26.2,65.1,976.7,0.0000
