timestamp,temperature_c,humidity_pct,pressure_hpa,rainfall_mm
0h 5m 0s,21.1,28.1,981.5,0.0000
0h 10m 0s,21.2,28.1,981.6,0.0000
0h 15m 0s,20.8,28.0,981.4,0.0000
0h 20m 0s,20.8,28.8,981.2,0.0000
0h 25m 0s,20.7,29.3,981.2,0.0000
0h 30m 0s,20.6,28.1,981.1,0.0000
0h 35m 0s,20.8,28.4,981.0,0.0000
0h 40m 0s,21.1,27.9,980.7,0.0000
0h 45m 0s,21.3,28.8,980.6,0.0000
0h 50m 0s,21.3,28.6,980.6,0.0000
0h 55m 0s,21.3,28.7,980.6,0.0000
1h 0m 0s,21.1,28.7,980.5,0.0000
1h 5m 0s,21.2,29.0,980.6,0.0000
1h 10m 0s,21.1,27.7,980.4,0.0000
1h 15m 0s,20.9,28.7,980.3,0.0000
1h 20m 0s,20.8,28.9,980.4,0.0000
1h 25m 0s,20.5,28.7,980.3,0.0000
1h 30m 0s,20.4,29.8,980.3,0.0000
1h 35m 0s,20.4,28.9,980.2,0.0000
1h 40m 0s,20.5,29.4,980.2,0.0000
1h 45m 0s,20.6,29.2,980.3,0.0000
1h 50m 0s,20.7,29.8,980.4,0.0000
1h 55m 0s,20.4,29.7,980.5,0.0000
2h 0m 0s,20.2,29.9,980.4,0.0000
2h 5m 0s,20.3,30.8,980.3,0.0000
2h 10m 0s,20.0,31.1,980.4,0.0000
2h 15m 0s,20.0,31.3,980.5,0.0000
2h 20m 0s,19.7,31.6,980.3,0.0000
2h 25m 0s,19.5,31.4,980.4,0.0000
2h 30m 0s,19.5,32.1,980.3,0.0000
2h 35m 0s,19.5,31.8,980.2,0.0000
2h 40m 0s,19.3,32.2,980.1,0.0000
2h 45m 0s,19.3,31.9,980.1,0.0000
2h 50m 0s,19.5,32.4,980.0,0.0000
2h 55m 0s,19.5,32.0,980.0,0.0000
3h 0m 0s,19.4,32.3,980.0,0.0000
3h 5m 0s,19.4,32.4,979.9,0.0000
3h 10m 0s,19.4,33.1,979.9,0.0000
3h 15m 0s,19.3,33.2,980.0,0.0000
3h 20m 0s,19.3,33.6,979.8,0.0000
3h 25m 0s,19.3,33.9,979.9,0.0000
3h 30m 0s,19.2,33.9,979.8,0.0000
3h 35m 0s,19.2,34.1,979.8,0.0000
3h 40m 0s,19.0,34.8,979.9,0.0000
3h 45m 0s,18.9,34.8,979.8,0.0000
3h 50m 0s,18.9,35.2,979.7,0.0000
3h 55m 0s,18.8,35.4,979.8,0.0000
4h 0m 0s,18.7,35.7,979.7,0.0000
4h 5m 0s,18.5,36.0,979.7,0.0000
4h 10m 0s,18.5,36.4,979.6,0.0000
4h 15m 0s,18.4,36.6,979.7,0.0000
4h 20m 0s,18.4,36.7,979.6,0.0000
4h 25m 0s,18.3,36.9,979.6,0.0000
4h 30m 0s,18.5,36.6,979.6,0.0000
4h 35m 0s,18.5,36.6,979.5,0.0000
4h 40m 0s,18.6,36.0,979.6,0.0000
4h 45m 0s,18.5,35.9,979.6,0.0000
4h 50m 0s,18.4,36.1,979.5,0.0000
4h 55m 0s,18.0,37.2,979.6,0.0000
5h 0m 0s,17.8,37.9,979.6,0.0000
5h 5m 0s,17.5,38.5,979.5,0.0000
5h 10m 0s,17.4,39.1,979.6,0.0000
5h 15m 0s,17.4,38.8,979.6,0.0000
5h 20m 0s,17.2,39.3,979.7,0.0000
5h 25m 0s,17.2,39.5,979.7,0.0000
5h 30m 0s,17.1,39.9,979.6,0.0000
5h 35m 0s,17.1,39.6,979.6,0.0000
5h 40m 0s,17.0,40.1,979.7,0.0000
5h 45m 0s,16.9,40.1,979.6,0.0000
5h 50m 0s,16.9,40.2,979.7,0.0000
5h 55m 0s,17.0,40.1,979.7,0.0000
6h 0m 0s,17.0,40.5,979.7,0.0000
6h 5m 0s,16.9,40.6,979.7,0.0000
6h 10m 0s,16.8,40.8,979.8,0.0000
6h 15m 0s,16.7,41.3,979.7,0.0000
6h 20m 0s,16.5,41.3,979.8,0.0000
6h 25m 0s,16.4,42.0,979.7,0.0000
6h 30m 0s,16.4,42.1,979.7,0.0000
6h 35m 0s,16.4,41.9,979.7,0.0000
6h 40m 0s,16.5,41.9,979.7,0.0000
6h 45m 0s,16.5,42.2,979.7,0.0000
6h 50m 0s,16.5,42.8,979.6,0.0000
6h 55m 0s,16.5,42.9,979.6,0.0000
7h 0m 0s,16.3,43.3,979.6,0.0000
7h 5m 0s,16.3,43.2,979.5,0.0000
7h 10m 0s,16.2,43.8,979.5,0.0000
7h 15m 0s,16.1,44.0,979.4,0.0000
7h 20m 0s,16.2,43.6,979.3,0.0000
7h 25m 0s,16.2,43.3,979.3,0.0000
7h 30m 0s,16.2,43.7,979.3,0.0000
7h 35m 1s,16.1,43.4,979.2,0.0000
7h 40m 1s,16.3,43.1,979.3,0.0000
7h 45m 1s,16.2,43.2,979.2,0.0000
7h 50m 1s,16.0,43.7,979.2,0.0000
7h 55m 1s,15.9,43.9,979.1,0.0000
8h 0m 1s,15.9,44.0,979.1,0.0000
8h 5m 1s,15.9,43.8,979.1,0.0000
8h 10m 1s,15.8,44.5,979.1,0.0000
8h 15m 1s,15.6,45.1,979.0,0.0000
8h 20m 1s,15.4,45.6,979.0,0.0000
8h 25m 1s,15.2,46.0,979.1,0.0000
8h 30m 1s,15.1,46.5,979.0,0.0000
8h 35m 1s,15.0,46.6,979.0,0.0000
8h 40m 1s,14.9,47.0,979.0,0.0000
8h 45m 1s,14.8,47.4,979.0,0.0000
8h 50m 1s,14.7,47.6,979.0,0.0000
8h 55m 1s,14.6,48.0,979.0,0.0000
9h 0m 1s,14.5,48.1,979.0,0.0000
9h 5m 1s,14.4,48.5,978.9,0.0000
9h 10m 1s,14.3,49.0,978.8,0.0000
9h 15m 1s,14.1,49.2,978.8,0.0000
9h 20m 1s,14.1,49.3,978.7,0.0000
9h 25m 1s,13.9,49.8,978.6,0.0000
9h 30m 1s,13.8,50.3,978.5,0.0000
9h 35m 1s,13.6,50.7,978.5,0.0000
9h 40m 1s,13.6,50.8,978.3,0.0000
9h 45m 1s,13.4,51.4,978.2,0.0000
9h 50m 1s,13.4,51.7,978.2,0.0000
9h 55m 1s,13.3,52.1,978.2,0.0000
10h 0m 1s,13.2,52.4,978.2,0.0000
10h 5m 1s,13.3,52.4,978.1,0.0000
10h 10m 1s,13.2,52.4,978.2,0.0000
10h 15m 1s,13.2,52.4,978.1,0.0000
10h 20m 1s,13.1,52.6,978.2,0.0000
10h 25m 1s,13.1,52.9,978.0,0.0000
10h 30m 1s,13.0,53.1,978.0,0.0000
10h 35m 1s,13.1,52.9,977.9,0.0000
10h 40m 1s,13.1,52.9,977.9,0.0000
10h 45m 1s,13.1,52.8,977.8,0.0000
10h 50m 1s,13.0,52.8,977.8,0.0000
10h 55m 1s,13.0,53.4,977.8,0.0000
11h 0m 1s,13.0,53.4,977.8,0.0000
11h 5m 1s,12.9,53.4,977.7,0.0000
11h 10m 1s,12.9,53.6,977.6,0.0000
11h 15m 1s,12.9,53.8,977.6,0.0000
