timestamp,temperature_c,humidity_pct,pressure_hpa,rainfall_mm
0h 5m 0s,26.2,36.5,983.5,0.2794
0h 10m 0s,26.3,37.8,983.6,0.0000
0h 15m 0s,26.2,38.1,983.6,0.0000
0h 20m 0s,26.4,37.3,983.6,0.0000
0h 25m 0s,26.1,38.5,983.5,0.0000
0h 30m 0s,26.1,37.8,983.6,0.2794
0h 35m 0s,26.0,37.8,983.6,0.0000
0h 40m 0s,26.0,38.7,983.7,0.0000
0h 45m 0s,26.6,38.9,983.8,0.0000
0h 50m 0s,26.0,40.7,983.8,0.2794
0h 55m 0s,25.9,41.0,983.8,0.0000
1h 0m 0s,26.1,40.2,983.9,0.0000
1h 5m 0s,26.8,39.0,984.1,0.2794
1h 10m 0s,26.7,39.4,984.1,0.0000
1h 15m 0s,26.6,40.5,984.2,0.2794
1h 20m 0s,26.5,41.1,984.2,0.0000
1h 25m 0s,26.4,38.6,984.2,0.2794
1h 30m 0s,26.4,37.9,984.2,0.0000
1h 35m 0s,26.3,38.3,984.3,0.0000
1h 40m 0s,26.3,39.2,984.3,0.0000
1h 45m 0s,26.2,39.9,984.3,0.0000
1h 50m 0s,26.2,41.3,984.3,0.0000
1h 55m 0s,26.2,42.3,984.4,0.0000
2h 0m 0s,26.1,42.5,984.3,0.0000
2h 5m 0s,26.1,42.4,984.3,0.0000
2h 10m 0s,26.2,40.6,984.3,0.2794
2h 15m 0s,26.2,41.1,984.2,0.0000
2h 20m 0s,26.2,42.1,984.1,0.0000
2h 25m 0s,26.1,41.3,984.1,0.0000
2h 30m 0s,26.0,39.9,984.1,0.0000
2h 35m 0s,26.0,39.4,984.0,0.0000
2h 40m 0s,25.9,40.3,984.0,0.0000
2h 45m 0s,25.9,40.1,984.1,0.0000
2h 50m 0s,25.8,41.2,984.1,0.0000
2h 55m 0s,25.7,42.3,984.2,0.0000
3h 0m 0s,25.6,43.5,984.1,0.0000
3h 5m 0s,25.6,44.4,984.1,0.0000
3h 10m 0s,25.6,44.4,984.1,0.0000
3h 15m 0s,25.5,43.7,984.2,0.0000
3h 20m 0s,25.5,44.0,984.2,0.0000
3h 25m 0s,25.5,44.6,984.3,0.0000
3h 30m 0s,25.5,45.7,984.4,0.0000
3h 35m 0s,25.5,46.0,984.4,0.0000
3h 40m 0s,25.4,46.3,984.5,0.0000
3h 45m 0s,25.4,46.4,984.5,0.0000
3h 50m 0s,25.4,46.3,984.4,0.0000
3h 55m 0s,25.3,45.0,984.4,0.0000
4h 0m 0s,25.3,43.7,984.4,0.0000
4h 5m 0s,25.3,43.7,984.4,0.0000
4h 10m 0s,25.2,44.8,984.4,0.0000
4h 15m 0s,25.2,42.6,984.5,0.0000
4h 20m 0s,25.2,42.0,984.5,0.0000
4h 25m 0s,25.2,40.8,984.4,0.0000
4h 30m 0s,25.2,40.1,984.4,0.0000
4h 35m 0s,25.2,39.2,984.5,0.0000
4h 40m 0s,25.0,40.2,984.5,0.0000
4h 45m 0s,24.9,41.7,984.5,0.0000
4h 50m 0s,24.8,41.5,984.5,0.0000
4h 55m 0s,24.8,40.2,984.5,0.0000
5h 0m 0s,24.9,39.0,984.5,0.0000
5h 5m 0s,24.9,38.3,984.4,0.0000
5h 10m 0s,24.8,37.2,984.4,0.0000
5h 15m 0s,25.0,36.2,984.3,0.0000
5h 20m 0s,25.0,35.2,984.3,0.0000
5h 25m 0s,25.0,34.7,984.3,0.0000
5h 30m 0s,24.8,35.2,984.3,0.0000
5h 35m 0s,24.7,35.4,984.3,0.0000
5h 40m 0s,24.7,35.4,984.2,0.0000
5h 45m 0s,24.8,35.3,984.2,0.0000
5h 50m 0s,24.6,35.4,984.1,0.0000
5h 55m 0s,24.5,35.5,984.1,0.0000
6h 0m 0s,24.5,35.2,984.2,0.0000
6h 5m 0s,24.5,35.3,984.2,0.0000
6h 10m 0s,24.4,35.2,984.1,0.0000
6h 15m 0s,24.4,35.2,984.1,0.0000
6h 20m 0s,24.4,35.1,984.0,0.0000
6h 25m 0s,24.4,35.3,984.0,0.0000
6h 30m 0s,24.3,35.0,984.0,0.0000
6h 35m 0s,24.3,34.8,984.1,0.0000
6h 40m 0s,24.4,34.5,984.1,0.0000
6h 45m 0s,24.3,34.8,984.1,0.0000
6h 50m 0s,24.1,34.8,984.0,0.0000
6h 55m 0s,24.0,35.0,984.0,0.0000
7h 0m 0s,24.0,35.1,984.0,0.0000
7h 5m 0s,23.9,36.3,984.0,0.0000
7h 10m 0s,23.8,37.8,984.1,0.0000
7h 15m 0s,23.9,38.9,984.0,0.0000
7h 20m 0s,23.8,39.1,984.1,0.0000
7h 25m 0s,23.7,39.0,984.2,0.0000
7h 30m 0s,23.7,40.9,984.1,0.0000
7h 35m 1s,23.6,41.9,984.1,0.0000
7h 40m 1s,23.5,40.9,984.1,0.0000
7h 45m 1s,23.5,42.3,984.2,0.0000
7h 50m 1s,23.5,43.1,984.1,0.0000
7h 55m 1s,23.5,41.2,984.2,0.0000
8h 0m 1s,23.5,40.4,984.3,0.0000
8h 5m 1s,23.5,41.4,984.3,0.0000
8h 10m 1s,23.4,39.8,984.3,0.0000
8h 15m 1s,23.4,42.0,984.3,0.0000
8h 20m 1s,23.2,43.3,984.1,0.0000
8h 25m 1s,23.1,40.0,984.0,0.0000
8h 30m 1s,23.1,38.2,984.1,0.0000
8h 35m 1s,23.0,38.2,984.2,0.0000
8h 40m 1s,23.0,38.8,984.4,0.0000
8h 45m 1s,22.9,40.2,984.4,0.0000
8h 50m 1s,22.9,41.9,984.4,0.0000
8h 55m 1s,22.9,42.0,984.4,0.0000
9h 0m 1s,22.8,42.2,984.5,0.0000
9h 5m 1s,22.8,42.0,984.6,0.0000
9h 10m 1s,22.7,42.4,984.7,0.0000
9h 15m 1s,22.6,44.2,984.9,0.0000
9h 20m 1s,22.6,44.6,984.9,0.0000
9h 25m 1s,22.8,42.1,984.9,0.0000
9h 30m 1s,22.9,43.2,984.8,0.0000
9h 35m 1s,23.0,41.5,984.8,0.0000
9h 40m 1s,23.2,40.0,984.8,0.0000
9h 45m 1s,23.5,39.0,984.8,0.0000
9h 50m 1s,23.8,38.0,984.9,0.0000
9h 55m 1s,24.1,36.8,985.1,0.0000
10h 0m 1s,24.3,36.7,985.2,0.0000
10h 5m 1s,24.5,38.4,985.3,0.0000
10h 10m 1s,24.9,39.7,985.2,0.0000
10h 15m 1s,25.1,36.5,985.0,0.0000
10h 20m 1s,25.2,35.3,984.9,0.0000
10h 25m 1s,25.4,35.7,984.9,0.0000
10h 30m 1s,25.7,36.0,985.0,0.0000
10h 35m 1s,25.9,35.6,985.0,0.0000
10h 40m 1s,26.2,34.8,984.9,0.2794
10h 45m 1s,26.7,33.8,985.0,0.0000
10h 50m 1s,26.7,32.4,985.1,0.2794
10h 55m 1s,26.6,33.0,985.3,0.0000
11h 0m 1s,26.4,33.2,985.2,0.0000
11h 5m 1s,26.1,33.7,985.3,0.2794
11h 10m 1s,26.0,33.9,985.4,0.0000
11h 15m 1s,25.9,33.9,985.5,0.0000
11h 20m 1s,25.9,35.3,985.4,0.0000
11h 25m 1s,26.0,34.5,985.4,0.0000
11h 30m 1s,25.9,33.5,985.4,0.0000
11h 35m 1s,26.0,33.2,985.5,0.0000
11h 40m 1s,26.2,33.0,985.5,0.0000
11h 45m 1s,26.6,33.2,985.4,0.0000
