timestamp,temperature_c,humidity_pct,pressure_hpa,rainfall_mm
0h 5m 0s,27.5,71.6,983.5,1.1176
0h 10m 0s,27.7,69.7,983.5,0.0000
0h 15m 0s,27.8,68.9,983.5,0.0000
0h 20m 0s,27.7,68.7,983.6,0.0000
0h 25m 0s,27.6,68.5,983.8,0.2794
0h 30m 0s,27.5,68.2,983.8,0.0000
0h 35m 0s,27.5,68.0,983.9,0.0000
0h 40m 0s,27.4,68.0,983.9,0.0000
0h 45m 0s,27.4,68.0,984.0,0.0000
0h 50m 0s,27.4,68.0,983.9,0.0000
0h 55m 0s,27.3,68.2,983.8,0.0000
1h 0m 0s,27.3,68.2,984.0,0.0000
1h 5m 0s,27.2,68.6,984.0,0.0000
1h 10m 0s,27.2,68.5,984.0,0.2794
1h 15m 0s,27.3,68.1,984.0,0.0000
1h 20m 0s,27.2,68.1,984.2,0.2794
1h 25m 0s,27.1,68.2,984.3,0.0000
1h 30m 0s,27.1,67.9,984.4,0.0000
1h 35m 0s,27.1,67.9,984.5,0.5588
1h 40m 0s,27.1,68.1,984.4,0.2794
1h 45m 0s,27.0,68.0,984.4,0.0000
1h 50m 0s,27.0,67.8,984.3,0.0000
1h 55m 0s,26.9,67.6,984.4,0.0000
2h 0m 0s,26.8,67.8,984.5,0.0000
2h 5m 0s,26.8,67.7,984.6,0.2794
2h 10m 0s,27.0,67.6,984.7,0.5588
2h 15m 0s,26.9,67.8,984.8,0.0000
2h 20m 0s,26.9,67.9,984.7,0.5588
2h 25m 0s,26.7,68.5,984.7,0.0000
2h 30m 0s,26.6,68.9,984.6,0.0000
2h 35m 0s,26.7,68.6,984.5,0.0000
2h 40m 0s,26.6,68.6,984.6,0.0000
2h 45m 0s,26.6,68.6,984.5,0.0000
2h 50m 0s,26.5,68.5,984.5,0.0000
2h 55m 0s,26.5,68.5,984.5,0.0000
3h 0m 0s,26.4,68.5,984.6,0.0000
3h 5m 0s,26.3,68.2,984.5,0.0000
3h 10m 0s,26.2,68.3,984.5,0.0000
3h 15m 0s,26.2,68.5,984.5,0.0000
3h 20m 0s,26.3,68.6,984.4,0.0000
3h 25m 0s,26.5,68.5,984.6,0.0000
3h 30m 0s,26.5,68.5,984.7,0.0000
3h 35m 0s,26.4,68.7,984.7,0.0000
3h 40m 0s,26.5,68.8,984.7,0.0000
3h 45m 0s,26.6,68.9,984.8,0.2794
3h 50m 0s,26.7,68.9,984.8,0.0000
3h 55m 0s,26.8,68.8,984.9,0.0000
4h 0m 0s,27.0,68.4,984.9,0.0000
4h 5m 0s,27.1,68.2,985.0,0.0000
4h 10m 0s,27.2,67.9,985.2,0.0000
4h 15m 0s,27.3,67.5,985.3,0.0000
4h 20m 0s,27.3,67.4,985.2,0.0000
4h 25m 0s,27.3,67.3,985.1,0.0000
4h 30m 0s,27.3,67.2,985.0,0.0000
4h 35m 0s,27.3,67.2,984.9,0.0000
4h 40m 0s,27.4,67.0,984.9,0.0000
4h 45m 0s,27.4,67.1,984.8,0.0000
4h 50m 0s,27.4,66.9,984.9,0.0000
4h 55m 0s,27.5,66.7,984.8,0.0000
