timestamp,temperature_c,humidity_pct,pressure_hpa,rainfall_mm
0h 5m 0s,35.7,43.9,982.9,0.0000
0h 10m 0s,35.7,43.6,982.9,0.0000
0h 15m 0s,35.5,44.1,983.0,0.2794
0h 20m 0s,35.3,44.4,983.0,0.0000
0h 25m 0s,35.2,45.1,983.0,0.0000
0h 30m 0s,35.1,46.1,983.1,0.0000
0h 35m 0s,35.1,46.1,983.1,0.0000
0h 40m 0s,35.2,45.4,983.0,0.0000
0h 45m 0s,35.0,45.5,983.0,0.0000
0h 50m 0s,34.8,45.6,983.0,0.2794
0h 55m 0s,34.7,45.9,982.9,0.0000
1h 0m 0s,34.6,46.4,982.8,0.0000
1h 5m 0s,34.5,46.9,982.8,0.2794
1h 10m 0s,34.0,48.9,982.7,0.2794
1h 15m 0s,33.7,50.1,982.7,0.0000
1h 20m 0s,33.5,50.3,982.7,0.2794
1h 25m 0s,33.3,50.5,982.6,0.0000
1h 30m 0s,33.1,51.1,982.4,0.0000
1h 35m 0s,32.9,52.0,982.2,0.0000
1h 40m 0s,32.8,51.7,982.1,0.0000
1h 45m 0s,32.7,51.9,982.0,0.0000
1h 50m 0s,32.7,51.7,981.9,0.0000
1h 55m 0s,32.6,51.6,982.0,0.0000
2h 0m 0s,32.7,51.1,982.0,0.0000
2h 5m 0s,32.8,50.9,981.9,0.0000
2h 10m 0s,32.7,51.1,981.9,0.0000
2h 15m 0s,32.5,51.5,981.6,0.0000
2h 20m 0s,32.5,51.7,981.4,0.0000
2h 25m 0s,32.5,51.9,981.0,0.0000
2h 30m 0s,32.4,52.2,981.0,0.0000
2h 35m 0s,32.3,52.3,981.0,0.0000
2h 40m 0s,32.3,52.6,980.9,0.0000
2h 45m 0s,32.2,53.0,981.1,0.0000
2h 50m 0s,32.2,53.3,981.2,0.0000
2h 55m 0s,32.3,53.2,981.6,0.0000
3h 0m 0s,32.4,52.7,982.3,0.0000
3h 5m 0s,32.5,52.2,982.6,0.0000
3h 10m 0s,32.5,52.3,982.7,0.0000
3h 15m 0s,32.4,52.7,982.8,0.0000
3h 20m 0s,32.4,52.9,982.9,0.0000
3h 25m 0s,32.3,53.2,983.0,0.0000
3h 30m 0s,32.3,53.4,983.0,0.0000
3h 35m 0s,32.2,53.3,983.2,0.0000
3h 40m 0s,32.2,53.6,983.4,0.2794
3h 45m 0s,32.2,53.7,983.6,0.8382
3h 50m 0s,32.2,53.7,983.7,0.0000
3h 55m 0s,32.1,53.8,983.9,0.0000
4h 0m 0s,32.0,54.0,984.1,0.2794
4h 5m 0s,31.9,54.2,984.2,0.0000
4h 10m 0s,31.9,54.3,984.2,0.0000
4h 15m 0s,31.8,54.6,984.1,0.5588
4h 20m 0s,31.8,54.7,984.2,0.0000
4h 25m 0s,31.7,54.9,984.2,0.0000
4h 30m 0s,31.7,55.0,984.2,0.0000
4h 35m 0s,31.6,55.1,984.1,0.0000
4h 40m 0s,31.5,55.3,984.0,0.2794
4h 45m 0s,31.4,55.6,984.1,0.0000
4h 50m 0s,31.4,55.8,984.0,0.0000
4h 55m 0s,31.3,56.0,984.1,0.0000
5h 0m 0s,31.2,56.3,984.1,0.0000
5h 5m 0s,31.1,56.4,984.2,0.0000
5h 10m 0s,31.1,56.5,984.2,0.0000
5h 15m 0s,31.0,56.6,984.2,0.0000
5h 20m 0s,31.0,56.7,984.2,0.0000
5h 25m 0s,30.9,57.0,984.3,0.0000
5h 30m 0s,30.9,57.2,984.4,0.0000
5h 35m 0s,30.9,57.3,984.3,0.0000
5h 40m 0s,30.9,57.2,984.3,0.0000
5h 45m 0s,30.9,57.2,984.3,0.0000
5h 50m 0s,30.8,57.2,984.3,0.0000
5h 55m 0s,30.8,57.4,984.3,0.0000
6h 0m 0s,30.7,57.6,984.3,0.0000
6h 5m 0s,30.7,57.8,984.3,0.0000
6h 10m 0s,30.7,57.8,984.3,0.0000
6h 15m 0s,30.6,57.9,984.3,0.0000
6h 20m 0s,30.5,58.1,984.2,0.0000
6h 25m 0s,30.5,58.2,984.2,0.0000
6h 30m 0s,30.4,58.6,984.3,0.0000
6h 35m 0s,30.4,58.6,984.4,0.0000
6h 40m 0s,30.4,58.6,984.4,0.0000
6h 45m 0s,30.3,59.0,984.3,0.0000
6h 50m 0s,30.3,59.0,984.3,0.0000
6h 55m 0s,30.3,59.0,984.3,0.0000
7h 0m 0s,30.2,59.4,984.4,0.0000
7h 5m 0s,30.2,59.5,984.4,0.0000
7h 10m 0s,30.1,59.7,984.3,0.2794
7h 15m 0s,30.1,59.7,984.4,0.0000
7h 20m 0s,30.1,59.9,984.5,0.0000
7h 25m 0s,30.0,60.0,984.5,0.0000
7h 30m 0s,30.0,60.1,984.5,0.0000
7h 35m 1s,30.0,60.3,984.6,0.0000
7h 40m 1s,30.0,60.4,984.5,0.0000
7h 45m 1s,30.0,60.4,984.5,0.0000
7h 50m 1s,30.0,60.6,984.5,0.2794
7h 55m 1s,30.0,60.7,984.5,0.0000
8h 0m 1s,29.9,60.9,984.5,0.0000
8h 5m 1s,29.9,60.9,984.5,0.0000
8h 10m 1s,29.8,61.0,984.5,0.0000
8h 15m 1s,29.8,61.1,984.5,0.0000
8h 20m 1s,29.7,61.3,984.6,0.0000
8h 25m 1s,29.6,61.6,984.5,0.0000
8h 30m 1s,29.5,61.9,984.5,0.0000
8h 35m 1s,29.4,62.1,984.6,0.0000
8h 40m 1s,29.4,62.1,984.7,0.0000
8h 45m 1s,29.4,62.1,984.7,0.0000
8h 50m 1s,29.4,62.2,984.8,0.0000
8h 55m 1s,29.5,62.1,984.9,0.0000
9h 0m 1s,29.4,62.2,984.9,0.0000
9h 5m 1s,29.2,62.4,984.9,0.0000
9h 10m 1s,29.1,62.3,985.0,0.0000
9h 15m 1s,29.0,62.5,985.1,0.0000
9h 20m 1s,29.0,63.0,985.2,0.0000
9h 25m 1s,29.0,63.3,985.2,0.0000
9h 30m 1s,29.0,63.4,985.2,0.0000
9h 35m 1s,29.1,63.1,985.3,0.0000
9h 40m 1s,29.2,62.7,985.2,0.0000
9h 45m 1s,29.3,62.4,985.3,0.0000
9h 50m 1s,29.3,62.2,985.3,0.0000
9h 55m 1s,29.3,62.2,985.3,0.0000
10h 0m 1s,29.3,62.2,985.4,0.0000
10h 5m 1s,29.3,62.3,985.4,0.0000
10h 10m 1s,29.3,62.3,985.4,0.0000
10h 15m 1s,29.3,62.3,985.5,0.0000
10h 20m 1s,29.3,62.3,985.6,0.0000
10h 25m 1s,29.4,62.3,985.7,0.0000
10h 30m 1s,29.3,62.3,985.8,0.0000
10h 35m 1s,29.3,62.3,985.8,0.0000
10h 40m 1s,29.2,62.4,985.9,0.0000
10h 45m 1s,29.3,62.5,985.8,0.0000
10h 50m 1s,29.3,62.7,985.8,0.0000
10h 55m 1s,29.3,62.9,985.8,0.0000
11h 0m 1s,29.3,62.8,985.8,0.5588
11h 5m 1s,29.3,62.8,985.8,0.0000
11h 10m 1s,29.0,64.0,985.9,0.0000
11h 15m 1s,29.3,63.8,985.8,0.0000
11h 20m 1s,29.6,63.3,985.8,0.0000
11h 25m 1s,30.2,62.2,985.8,0.0000
11h 30m 1s,30.5,61.4,985.9,0.0000
11h 35m 1s,30.8,60.2,985.8,0.0000
11h 40m 1s,31.0,59.5,986.0,0.2794
11h 45m 1s,31.3,58.7,985.9,0.0000
11h 50m 1s,31.9,57.1,985.9,0.0000
11h 55m 1s,32.6,55.2,985.9,0.0000
12h 0m 1s,33.1,53.7,985.8,0.0000
12h 5m 1s,33.6,52.4,985.9,0.0000
12h 10m 1s,34.3,50.5,985.9,0.2794
12h 15m 1s,34.9,49.0,986.0,0.0000
12h 20m 1s,35.4,47.6,986.1,0.0000
12h 25m 1s,36.0,46.0,986.1,0.0000
12h 30m 1s,36.2,45.6,986.1,0.0000
12h 35m 1s,36.5,44.9,986.1,0.0000
12h 40m 1s,37.2,43.5,986.2,0.0000
12h 45m 1s,38.2,41.0,986.2,0.0000
12h 50m 1s,39.1,39.1,986.2,0.0000
12h 55m 1s,39.8,37.8,986.2,0.0000
13h 0m 1s,39.8,37.2,986.2,0.2794
13h 5m 1s,40.2,36.6,986.2,0.0000
13h 10m 1s,41.1,35.1,986.3,0.0000
13h 15m 1s,41.5,34.8,986.3,0.0000
13h 20m 1s,42.5,32.1,986.3,0.0000
13h 25m 1s,43.5,30.4,986.3,0.0000
13h 30m 1s,43.3,30.2,986.2,0.0000
13h 35m 1s,42.6,31.2,986.2,0.0000
13h 40m 1s,42.6,31.5,986.3,0.0000
13h 45m 1s,42.0,32.3,986.3,0.0000
13h 50m 1s,43.0,31.3,986.3,0.0000
13h 55m 1s,44.2,29.1,986.3,0.0000
14h 0m 1s,44.5,28.4,986.2,0.0000
14h 5m 1s,45.1,27.9,986.2,0.0000
14h 10m 1s,44.1,29.2,986.1,0.0000
14h 15m 1s,44.7,28.7,986.1,0.0000
14h 20m 1s,45.5,27.5,986.1,0.0000
14h 25m 1s,47.2,24.7,986.1,0.0000
14h 30m 1s,48.1,24.1,986.1,0.0000
14h 35m 1s,48.7,23.1,986.0,0.0000
14h 40m 1s,48.5,23.3,986.0,0.0000
14h 45m 1s,47.5,24.1,986.0,0.0000
14h 50m 1s,47.2,24.3,985.9,0.0000
14h 55m 1s,48.4,23.6,985.9,0.0000
15h 0m 1s,46.9,24.2,985.9,0.0000
15h 5m 1s,45.7,26.2,985.9,0.2794
15h 10m 1s,46.3,25.5,985.7,0.0000
15h 15m 1s,45.9,25.7,985.7,0.0000
15h 20m 1s,46.7,24.9,985.8,0.0000
15h 25m 1s,46.8,24.7,985.7,0.0000
15h 30m 1s,45.9,25.9,985.8,0.0000
15h 35m 1s,45.3,27.1,985.8,0.0000
15h 40m 1s,45.2,27.8,985.8,0.0000
15h 45m 2s,44.8,27.8,985.7,0.0000
15h 50m 2s,45.6,27.0,985.7,0.0000
15h 55m 2s,46.0,26.1,985.8,0.0000
16h 0m 2s,45.7,25.9,985.8,0.0000
16h 5m 2s,45.8,26.4,985.8,0.0000
16h 10m 2s,44.8,27.5,985.7,0.2794
16h 15m 2s,43.8,29.3,985.9,0.0000
16h 20m 2s,43.7,29.9,985.8,0.0000
16h 25m 2s,43.0,30.4,985.8,0.0000
16h 30m 2s,43.2,31.9,985.8,0.0000
16h 35m 2s,44.7,28.1,985.7,0.0000
16h 40m 2s,45.4,26.6,985.8,0.5588
16h 45m 2s,44.8,26.9,985.7,0.0000
16h 50m 2s,44.4,27.1,985.8,0.0000
16h 55m 2s,45.0,27.8,985.7,0.0000
17h 0m 2s,45.8,25.3,985.8,0.0000
17h 5m 2s,45.6,26.2,985.7,0.0000
17h 10m 2s,45.8,24.2,985.7,0.0000
17h 15m 2s,46.2,24.8,985.7,0.0000
17h 20m 2s,45.8,26.2,985.7,0.0000
17h 25m 2s,46.4,23.9,985.7,0.0000
17h 30m 2s,46.6,24.7,985.8,0.0000
17h 35m 2s,45.7,24.4,985.8,0.0000
17h 40m 2s,44.2,26.0,985.8,0.0000
17h 45m 2s,44.2,27.1,985.8,0.0000
17h 50m 2s,44.7,27.0,985.7,0.0000
17h 55m 2s,44.8,27.0,985.8,0.0000
18h 0m 2s,44.6,26.8,985.7,0.0000
18h 5m 2s,44.9,25.8,985.8,0.0000
18h 10m 2s,44.2,26.7,985.8,0.0000
18h 15m 2s,44.1,27.4,985.7,0.0000
18h 20m 2s,45.5,26.5,985.8,0.0000
18h 25m 2s,46.0,23.8,985.8,0.2794
18h 30m 2s,44.9,25.5,985.7,0.0000
18h 35m 2s,44.8,25.8,985.6,0.0000
18h 40m 2s,44.4,25.6,985.5,0.0000
18h 45m 2s,44.0,26.8,985.6,0.0000
18h 50m 2s,43.4,28.4,985.6,0.0000
18h 55m 2s,43.9,28.7,985.6,0.0000
19h 0m 2s,44.6,26.9,985.7,0.0000
19h 5m 2s,43.8,27.3,985.5,0.0000
19h 10m 2s,43.0,29.1,985.6,0.0000
19h 15m 2s,42.6,30.6,985.6,0.0000
19h 20m 2s,42.2,29.5,985.5,0.0000
19h 25m 2s,42.1,30.1,985.5,0.0000
19h 30m 2s,42.8,28.9,985.5,0.0000
19h 35m 2s,42.5,30.6,985.4,0.0000
19h 40m 2s,42.6,29.1,985.3,0.0000
19h 45m 2s,42.5,29.7,985.4,0.0000
19h 50m 2s,41.9,29.4,985.4,0.0000
19h 55m 2s,42.1,30.2,985.3,0.0000
20h 0m 2s,42.2,30.3,985.4,0.0000
20h 5m 2s,42.4,29.3,985.3,0.0000
20h 10m 2s,42.4,28.7,985.3,0.0000
20h 15m 2s,42.0,30.5,985.3,0.0000
20h 20m 2s,41.2,30.9,985.3,0.0000
20h 25m 2s,40.6,33.3,985.2,0.2794
20h 30m 2s,40.4,32.6,985.1,0.0000
20h 35m 2s,40.5,33.5,985.1,0.0000
20h 40m 2s,40.9,31.7,985.2,0.0000
20h 45m 2s,40.8,31.6,985.2,0.0000
20h 50m 2s,40.8,31.8,985.1,0.0000
20h 55m 2s,40.6,31.7,985.1,0.0000
21h 0m 2s,40.2,32.1,985.0,0.0000
21h 5m 2s,40.2,33.0,984.9,0.0000
21h 10m 2s,40.3,31.9,984.8,0.0000
21h 15m 2s,40.5,32.6,984.8,0.0000
21h 20m 2s,40.5,31.8,984.7,0.0000
21h 25m 2s,40.5,33.1,984.7,0.0000
21h 30m 2s,40.5,32.8,984.7,0.0000
21h 35m 2s,40.3,33.0,984.6,0.5588
21h 40m 2s,40.2,33.1,984.6,0.0000
21h 45m 2s,40.4,32.7,984.7,0.5588
21h 50m 2s,40.3,31.8,984.8,0.0000
21h 55m 2s,40.3,32.6,984.7,0.0000
22h 0m 2s,40.0,32.9,984.7,0.0000
22h 5m 2s,39.6,32.9,984.7,0.0000
22h 10m 2s,39.5,33.9,984.8,0.0000
22h 15m 2s,39.5,35.0,984.7,0.0000
22h 20m 3s,39.4,34.3,984.7,0.0000
22h 25m 3s,39.5,34.1,984.6,0.0000
22h 30m 3s,39.6,34.6,984.6,0.0000
22h 35m 3s,39.4,34.4,984.6,0.2794
22h 40m 3s,39.3,34.7,984.6,0.0000
22h 45m 3s,39.2,34.9,984.5,0.0000
22h 50m 3s,39.2,34.5,984.5,0.0000
22h 55m 3s,39.3,35.4,984.4,0.0000
23h 0m 3s,39.4,34.6,984.4,0.0000
23h 5m 3s,39.2,34.2,984.5,0.0000
23h 10m 3s,39.3,34.4,984.5,0.0000
23h 15m 3s,39.2,34.4,984.5,0.2794
23h 20m 3s,39.1,34.3,984.4,0.0000
23h 25m 3s,38.8,34.9,984.5,0.0000
23h 30m 3s,38.7,35.5,984.5,0.0000
23h 35m 3s,38.6,36.2,984.5,0.0000
23h 40m 3s,38.6,36.5,984.5,0.0000
23h 45m 3s,38.5,36.4,984.5,0.0000
23h 50m 3s,38.5,36.7,984.5,0.0000
23h 55m 3s,38.3,37.0,984.5,0.0000
24h 0m 3s,38.2,37.1,984.5,0.0000
24h 5m 3s,37.9,37.5,984.5,0.0000
24h 10m 3s,37.8,37.8,984.6,0.0000
24h 15m 3s,37.7,37.8,984.6,0.0000
24h 20m 3s,37.6,38.1,984.6,0.2794
24h 25m 3s,37.5,38.4,984.6,0.0000
24h 30m 3s,37.5,38.8,984.7,0.0000
24h 35m 3s,37.3,39.1,984.6,0.0000
24h 40m 3s,37.3,39.6,984.5,0.0000
24h 45m 3s,37.2,39.7,984.4,0.0000
24h 50m 3s,36.7,39.3,984.5,0.0000
24h 55m 3s,36.8,40.0,984.4,0.2794
25h 0m 3s,36.7,40.2,984.5,0.0000
25h 5m 3s,36.5,40.6,984.5,0.0000
25h 10m 3s,36.5,40.9,984.6,0.0000
25h 15m 3s,36.4,41.3,984.6,0.0000
25h 20m 3s,36.2,42.1,984.6,0.2794
25h 25m 3s,36.0,42.5,984.6,0.2794
25h 30m 3s,36.0,43.0,984.6,0.0000
25h 35m 3s,35.9,43.2,984.8,0.0000
25h 40m 3s,35.8,43.5,984.7,0.0000
25h 45m 3s,35.7,43.9,984.8,0.0000
25h 50m 3s,35.6,44.1,984.9,0.2794
25h 55m 3s,35.5,44.3,984.9,0.2794
26h 0m 3s,35.4,44.9,984.9,0.0000
26h 5m 3s,35.2,45.4,985.0,0.0000
26h 10m 3s,35.1,45.8,985.0,0.0000
26h 15m 3s,34.9,46.0,985.0,0.0000
26h 20m 3s,34.7,46.4,985.0,0.0000
26h 25m 3s,34.6,46.9,985.0,0.5588
26h 30m 3s,34.6,47.4,985.2,0.5588
26h 35m 3s,34.5,47.9,985.2,0.2794
26h 40m 3s,34.4,48.5,985.1,0.0000
26h 45m 3s,34.3,48.8,985.3,0.0000
26h 50m 3s,34.2,49.2,985.3,0.0000
26h 55m 3s,34.2,49.4,985.3,0.2794
27h 0m 3s,34.1,49.7,985.4,0.0000
27h 5m 3s,34.0,49.9,985.4,0.0000
27h 10m 3s,33.9,50.3,985.4,0.0000
27h 15m 3s,33.9,50.5,985.5,0.0000
27h 20m 3s,33.8,50.7,985.5,0.5588
27h 25m 3s,33.9,50.7,985.4,0.0000
27h 30m 3s,33.9,50.7,985.4,0.2794
27h 35m 3s,33.8,50.9,985.5,0.0000
27h 40m 3s,33.8,51.0,985.5,0.0000
27h 45m 3s,33.7,51.2,985.4,0.0000
27h 50m 3s,33.7,51.3,985.5,0.0000
27h 55m 3s,33.7,51.2,985.4,0.0000
28h 0m 3s,33.7,51.3,985.4,0.0000
28h 5m 3s,33.6,51.5,985.4,0.0000
28h 10m 3s,33.6,51.5,985.4,0.2794
28h 15m 3s,33.6,51.7,985.4,0.0000
28h 20m 3s,33.6,51.9,985.3,0.0000
28h 25m 3s,33.5,51.9,985.4,0.0000
28h 30m 4s,33.5,52.2,985.5,0.2794
28h 35m 4s,33.4,52.3,985.4,0.0000
28h 40m 4s,33.4,52.4,985.4,0.5588
28h 45m 4s,33.4,52.5,985.5,0.5588
28h 50m 4s,33.3,52.6,985.3,0.2794
28h 55m 4s,33.2,52.9,985.3,0.0000
29h 0m 4s,33.2,53.1,985.4,0.0000
29h 5m 4s,33.2,53.1,985.4,0.0000
29h 10m 4s,33.2,53.3,985.5,0.0000
29h 15m 4s,33.2,53.3,985.5,0.0000
29h 20m 4s,33.1,53.5,985.5,0.0000
29h 25m 4s,33.0,53.7,985.6,0.0000
29h 30m 4s,33.0,54.0,985.6,0.0000
29h 35m 4s,32.9,54.3,985.6,0.0000
29h 40m 4s,32.8,54.7,985.6,0.0000
29h 45m 4s,32.9,54.7,985.5,0.0000
29h 50m 4s,32.8,54.9,985.5,0.0000
29h 55m 4s,32.8,55.1,985.6,0.0000
30h 0m 4s,32.8,55.2,985.6,0.0000
30h 5m 4s,32.8,55.2,985.6,0.0000
30h 10m 4s,32.6,55.5,985.6,0.0000
30h 15m 4s,32.5,55.9,985.5,0.0000
30h 20m 4s,32.4,56.1,985.5,0.0000
30h 25m 4s,32.4,56.3,985.5,0.0000
30h 30m 4s,32.4,56.4,985.5,0.0000
30h 35m 4s,32.4,56.3,985.4,0.0000
30h 40m 4s,32.4,56.4,985.3,0.0000
30h 45m 4s,32.4,56.3,985.4,0.0000
30h 50m 4s,32.4,56.3,985.3,0.0000
30h 55m 4s,32.3,56.4,985.3,0.0000
31h 0m 4s,32.3,56.4,985.4,0.0000
31h 5m 4s,32.3,56.5,985.4,0.0000
31h 10m 4s,32.2,56.6,985.3,0.0000
31h 15m 4s,32.1,56.8,985.3,0.0000
31h 20m 4s,32.1,56.9,985.3,0.0000
31h 25m 4s,32.0,57.0,985.3,0.0000
31h 30m 4s,32.0,57.1,985.3,0.0000
31h 35m 4s,31.9,57.3,985.2,0.0000
31h 40m 4s,31.9,57.4,985.3,0.0000
31h 45m 4s,31.8,57.4,985.3,0.0000
31h 50m 4s,31.8,57.4,985.4,0.0000
31h 55m 4s,31.7,57.5,985.4,0.0000
32h 0m 4s,31.7,57.6,985.4,0.0000
32h 5m 4s,31.7,57.6,985.3,0.0000
32h 10m 4s,31.8,57.5,985.2,0.0000
32h 15m 4s,31.8,57.2,985.2,0.0000
32h 20m 4s,31.8,57.1,985.3,0.0000
32h 25m 4s,31.8,56.9,985.2,0.0000
32h 30m 4s,31.9,56.8,985.3,0.0000
32h 35m 4s,31.9,56.6,985.3,0.0000
32h 40m 4s,31.9,56.4,985.4,0.0000
32h 45m 4s,32.0,56.1,985.5,0.0000
32h 50m 4s,32.1,55.8,985.5,0.0000
32h 55m 4s,32.1,55.6,985.6,0.0000
33h 0m 4s,32.1,55.5,985.6,0.0000
33h 5m 4s,32.0,55.6,985.7,0.0000
33h 10m 4s,31.9,55.9,985.6,0.0000
33h 15m 4s,31.8,56.2,985.6,0.2794
33h 20m 4s,31.7,56.4,985.6,0.0000
33h 25m 4s,31.6,56.6,985.6,0.0000
33h 30m 4s,31.6,56.9,985.6,0.0000
33h 35m 4s,31.5,57.1,985.7,0.0000
33h 40m 4s,31.5,57.2,985.7,0.0000
33h 45m 4s,31.4,57.3,985.7,0.0000
33h 50m 4s,31.4,57.4,985.7,0.0000
33h 55m 4s,31.3,57.5,985.7,0.0000
34h 0m 4s,31.3,57.5,985.8,0.0000
34h 5m 4s,31.3,57.6,985.8,0.0000
34h 10m 4s,31.2,57.7,985.8,0.0000
34h 15m 4s,31.2,57.9,985.8,0.0000
34h 20m 4s,31.1,58.1,985.8,0.0000
34h 25m 4s,31.0,58.3,985.9,0.0000
34h 30m 5s,31.0,58.3,985.9,0.0000
34h 35m 5s,31.0,58.5,986.0,0.0000
34h 40m 5s,31.0,58.6,986.1,0.0000
34h 45m 5s,30.9,58.7,986.1,0.0000
34h 50m 5s,30.9,58.8,986.0,0.0000
34h 55m 5s,30.9,58.8,986.1,0.0000
35h 0m 5s,30.9,58.8,986.2,0.0000
35h 5m 5s,30.9,58.8,986.2,0.0000
35h 10m 5s,31.0,58.7,986.2,0.2794
35h 15m 5s,31.2,58.4,986.3,0.0000
35h 20m 5s,31.4,57.7,986.3,0.0000
35h 25m 5s,31.9,56.7,986.4,0.0000
35h 30m 5s,32.2,56.1,986.5,0.0000
35h 35m 5s,32.5,55.0,986.5,0.5588
35h 40m 5s,32.8,54.0,986.6,0.0000
35h 45m 5s,33.2,53.2,986.7,0.0000
35h 50m 5s,33.9,51.4,986.6,0.0000
35h 55m 5s,34.6,49.5,986.6,0.0000
36h 0m 5s,35.4,47.2,986.7,0.2794
36h 5m 5s,36.0,45.2,986.6,0.0000
36h 10m 5s,36.7,43.7,986.7,0.0000
36h 15m 5s,37.6,42.3,986.8,0.0000
36h 20m 5s,38.5,39.7,986.7,0.0000
36h 25m 5s,39.2,38.6,986.9,0.0000
36h 30m 5s,39.7,37.5,987.0,0.0000
36h 35m 5s,40.1,36.3,987.1,0.0000
36h 40m 5s,41.0,34.8,987.0,0.0000
36h 45m 5s,41.7,33.7,987.0,0.0000
36h 50m 5s,42.2,32.6,987.0,0.0000
