timestamp,temperature_c,humidity_pct,pressure_hpa,rainfall_mm
10h 10m 1s,10.7,56.7,989.2,0.0000
10h 15m 1s,10.6,57.1,989.2,0.0000
10h 20m 1s,10.4,57.7,989.2,0.0000
10h 25m 1s,10.5,57.4,989.3,0.0000
10h 30m 1s,10.4,58.1,989.4,0.0000
10h 35m 1s,10.4,58.4,989.5,0.0000
10h 40m 1s,10.2,58.6,989.7,0.0000
10h 45m 1s,10.1,59.6,989.7,0.0000
10h 50m 1s,10.1,60.0,989.7,0.0000
10h 55m 1s,10.0,60.4,989.8,0.0000
11h 0m 1s,10.0,60.6,989.8,0.0000
11h 5m 1s,9.9,60.6,989.8,0.0000
11h 10m 1s,9.9,60.7,989.9,0.0000
11h 15m 1s,9.9,61.1,989.7,0.0000
11h 20m 1s,9.8,61.0,989.8,0.0000
11h 25m 1s,9.8,61.0,989.8,0.0000
11h 30m 1s,9.7,60.8,989.8,0.0000
11h 35m 1s,9.7,61.0,989.8,0.0000
11h 40m 1s,9.7,61.1,989.8,0.0000
11h 45m 1s,9.7,60.9,989.9,0.0000
11h 50m 1s,9.7,60.9,989.8,0.0000
11h 55m 1s,9.6,61.0,989.8,0.0000
12h 0m 1s,9.6,60.8,989.8,0.0000
12h 5m 1s,9.6,60.6,989.8,0.0000
12h 10m 1s,9.7,61.0,989.8,0.0000
12h 15m 1s,9.8,61.0,989.8,0.0000
12h 20m 1s,9.8,60.7,989.8,0.0000
12h 25m 1s,9.8,60.6,989.8,0.0000
12h 30m 1s,9.7,60.8,989.7,0.0000
12h 35m 1s,9.6,61.0,989.8,0.0000
12h 40m 1s,9.6,61.1,989.9,0.0000
12h 45m 1s,9.6,61.2,989.9,0.0000
12h 50m 1s,9.5,61.7,989.9,0.0000
12h 55m 1s,9.4,61.9,989.9,0.0000
13h 0m 1s,9.5,62.3,990.0,0.0000
13h 5m 1s,9.5,62.6,990.1,0.0000
13h 10m 1s,9.6,62.7,990.1,0.0000
13h 15m 1s,9.7,63.0,990.2,0.0000
13h 20m 1s,9.9,63.5,990.2,0.0000
13h 25m 1s,10.2,63.4,990.2,0.0000
13h 30m 1s,11.0,63.4,990.4,0.0000
13h 35m 1s,11.9,62.5,990.4,0.0000
13h 40m 1s,12.8,60.6,990.5,0.0000
13h 45m 1s,13.5,58.5,990.5,0.0000
13h 50m 1s,14.6,57.2,990.5,0.0000
13h 55m 1s,16.8,52.0,990.5,0.0000
14h 0m 1s,19.0,45.3,990.5,0.0000
14h 5m 1s,20.9,39.1,990.5,0.0000
14h 10m 1s,22.6,32.0,990.5,0.0000
14h 15m 1s,23.6,28.5,990.5,0.0000
14h 20m 1s,24.7,25.9,990.5,0.0000
14h 25m 1s,25.3,23.5,990.5,0.0000
14h 30m 1s,25.3,21.8,990.6,0.0000
14h 35m 1s,25.2,21.9,990.6,0.0000
14h 40m 1s,25.3,20.7,990.7,0.0000
14h 45m 1s,25.9,20.7,990.7,0.0000
14h 50m 1s,26.6,18.9,990.8,0.0000
14h 55m 1s,26.3,20.2,990.8,0.0000
15h 0m 1s,26.5,18.3,990.8,0.0000
15h 5m 1s,26.3,19.5,990.8,0.0000
15h 10m 1s,26.5,17.8,990.8,0.0000
15h 15m 1s,26.1,18.7,990.8,0.0000
15h 20m 1s,25.8,18.7,990.9,0.0000
15h 25m 1s,26.3,18.8,990.8,0.0000
15h 30m 1s,26.9,17.7,990.8,0.0000
15h 35m 1s,27.3,17.1,990.8,0.0000
15h 40m 1s,28.0,17.1,990.8,0.0000
15h 45m 1s,29.0,15.9,990.7,0.0000
15h 50m 2s,29.6,14.1,990.8,0.0000
15h 55m 2s,29.0,14.2,990.7,0.0000
16h 0m 2s,28.6,15.4,990.8,0.0000
16h 5m 2s,29.2,17.0,990.7,0.0000
16h 10m 2s,30.5,13.9,990.7,0.0000
16h 15m 2s,31.5,12.7,990.7,0.0000
16h 20m 2s,31.8,12.5,990.6,0.0000
16h 25m 2s,31.8,12.4,990.6,0.0000
16h 30m 2s,32.4,12.1,990.6,0.0000
16h 35m 2s,31.9,13.6,990.6,0.0000
16h 40m 2s,31.5,13.6,990.6,0.0000
16h 45m 2s,32.2,12.4,990.6,0.0000
16h 50m 2s,32.2,11.8,990.6,0.0000
16h 55m 2s,32.8,12.1,990.5,0.0000
17h 0m 2s,33.9,10.8,990.6,0.0000
17h 5m 2s,33.2,12.0,990.6,0.0000
17h 10m 2s,34.0,12.3,990.5,0.0000
17h 15m 2s,35.5,10.7,990.6,0.0000
17h 20m 2s,35.5,9.4,990.5,0.0000
17h 25m 2s,35.1,10.1,990.7,0.0000
17h 30m 2s,36.2,10.1,990.4,0.0000
17h 35m 2s,36.4,9.4,990.5,0.0000
17h 40m 2s,36.8,9.8,990.4,0.0000
17h 45m 2s,36.9,10.0,990.4,0.0000
17h 50m 2s,38.2,9.6,990.3,0.0000
17h 55m 2s,39.1,8.1,990.2,0.0000
18h 0m 2s,39.2,8.1,990.2,0.0000
18h 5m 2s,40.0,7.5,990.1,0.0000
18h 10m 2s,40.7,8.2,990.1,0.0000
18h 15m 2s,41.3,7.5,990.1,0.0000
18h 20m 2s,41.3,8.3,990.1,0.0000
18h 25m 2s,41.9,7.0,989.9,0.0000
18h 30m 2s,41.0,7.5,990.0,0.0000
18h 35m 2s,40.8,7.2,989.9,0.0000
18h 40m 2s,40.6,7.7,989.8,0.0000
18h 45m 2s,41.0,7.3,989.8,0.0000
18h 50m 2s,41.2,8.3,989.9,0.0000
18h 55m 2s,40.9,7.7,989.7,0.0000
19h 0m 2s,40.9,7.8,989.5,0.0000
19h 5m 2s,40.7,8.6,989.5,0.0000
19h 10m 2s,40.8,8.2,989.5,0.0000
19h 15m 2s,40.6,8.4,989.5,0.0000
19h 20m 2s,40.5,8.0,989.4,0.0000
19h 25m 2s,40.1,8.7,989.3,0.0000
19h 30m 2s,39.6,8.8,989.3,0.0000
19h 35m 2s,39.7,8.8,989.2,0.0000
19h 40m 2s,39.7,8.9,989.2,0.0000
19h 45m 2s,39.7,9.1,989.0,0.0000
19h 50m 2s,39.1,9.4,989.2,0.0000
19h 55m 2s,38.6,9.8,989.1,0.0000
20h 0m 2s,38.4,9.7,989.0,0.0000
20h 5m 2s,39.0,10.3,988.9,0.0000
20h 10m 2s,38.6,9.9,988.8,0.0000
20h 15m 2s,37.9,10.2,988.8,0.0000
20h 20m 2s,37.4,10.3,988.7,0.0000
20h 25m 2s,35.9,10.9,988.7,0.0000
20h 30m 2s,34.9,12.6,988.6,0.0000
20h 35m 2s,34.4,13.0,988.5,0.0000
20h 40m 2s,33.8,14.2,988.6,0.0000
20h 45m 2s,33.3,14.3,988.6,0.0000
20h 50m 2s,32.6,14.4,988.5,0.0000
20h 55m 2s,32.3,15.1,988.5,0.0000
21h 0m 2s,31.9,13.8,988.4,0.0000
21h 5m 2s,31.5,12.9,988.5,0.0000
21h 10m 2s,31.3,13.5,988.5,0.0000
21h 15m 2s,30.5,13.6,988.4,0.0000
21h 20m 2s,30.3,12.8,988.4,0.0000
21h 25m 2s,29.9,14.4,988.4,0.0000
21h 30m 2s,29.7,14.8,988.3,0.0000
21h 35m 2s,29.6,15.2,988.3,0.0000
21h 40m 2s,29.5,14.5,988.3,0.0000
21h 45m 2s,29.3,14.5,988.2,0.0000
21h 50m 2s,29.1,14.6,988.2,0.0000
21h 55m 2s,28.9,14.5,988.2,0.0000
22h 0m 2s,28.6,14.6,988.1,0.0000
22h 5m 2s,28.4,15.5,988.2,0.0000
22h 10m 2s,28.1,15.3,988.2,0.0000
22h 15m 2s,28.1,14.7,988.1,0.0000
22h 20m 2s,28.0,15.1,988.0,0.0000
22h 25m 2s,27.9,15.2,988.0,0.0000
22h 30m 2s,27.7,14.1,987.9,0.0000
22h 35m 2s,27.7,15.1,987.9,0.0000
22h 40m 2s,27.5,15.1,987.9,0.0000
22h 45m 2s,27.3,14.9,987.9,0.0000
22h 50m 2s,27.1,14.6,987.9,0.0000
22h 55m 2s,27.1,15.4,987.9,0.0000
23h 0m 2s,27.1,16.3,987.9,0.0000
23h 5m 2s,27.0,16.3,987.8,0.0000
23h 10m 2s,27.0,16.8,987.9,0.0000
23h 15m 2s,27.0,17.2,987.8,0.0000
23h 20m 2s,27.0,16.9,987.8,0.0000
23h 25m 2s,26.8,16.8,987.8,0.0000
23h 30m 2s,26.6,16.7,987.9,0.0000
23h 35m 2s,26.5,15.6,987.9,0.0000
23h 40m 2s,26.5,17.1,987.8,0.0000
23h 45m 2s,26.4,17.3,987.8,0.0000
23h 50m 2s,26.2,18.2,987.7,0.0000
23h 55m 2s,26.1,18.8,987.8,0.0000
24h 0m 3s,26.2,18.3,987.8,0.0000
24h 5m 3s,26.0,18.3,987.9,0.0000
24h 10m 3s,25.9,18.6,987.9,0.0000
24h 15m 3s,25.8,17.6,987.9,0.0000
24h 20m 3s,25.7,16.8,988.1,0.0000
24h 25m 3s,25.6,16.2,987.9,0.0000
24h 30m 3s,25.5,18.1,988.1,0.0000
24h 35m 3s,25.4,17.7,988.1,0.0000
24h 40m 3s,25.2,17.5,988.2,0.0000
24h 45m 3s,25.0,17.3,988.2,0.0000
24h 50m 3s,24.9,17.4,988.3,0.0000
24h 55m 3s,24.7,17.0,988.3,0.0000
25h 0m 3s,24.5,17.4,988.3,0.0000
25h 5m 3s,24.4,17.4,988.3,0.0000
25h 10m 3s,24.2,17.6,988.3,0.0000
25h 15m 3s,23.8,17.3,988.4,0.0000
25h 20m 3s,23.6,16.9,988.4,0.0000
25h 25m 3s,23.5,17.1,988.4,0.0000
25h 30m 3s,23.3,17.6,988.4,0.0000
25h 35m 3s,23.2,18.7,988.5,0.0000
25h 40m 3s,22.8,18.2,988.4,0.0000
25h 45m 3s,22.6,19.0,988.5,0.0000
25h 50m 3s,22.4,19.4,988.5,0.0000
25h 55m 3s,22.2,19.1,988.5,0.0000
26h 0m 3s,22.1,19.5,988.6,0.0000
26h 5m 3s,22.0,19.5,988.7,0.0000
26h 10m 3s,22.2,20.0,988.7,0.0000
26h 15m 3s,22.2,20.1,988.8,0.0000
26h 20m 3s,22.0,20.4,988.7,0.0000
26h 25m 3s,21.4,21.5,988.9,0.0000
26h 30m 3s,21.3,21.7,989.0,0.0000
26h 35m 3s,21.1,22.3,989.0,0.0000
26h 40m 3s,20.7,23.0,989.1,0.0000
26h 45m 3s,20.5,22.5,989.1,0.0000
26h 50m 3s,20.3,23.8,989.1,0.0000
26h 55m 3s,20.1,23.7,989.1,0.0000
27h 0m 3s,19.9,24.3,989.2,0.0000
27h 5m 3s,19.6,24.9,989.3,0.0000
27h 10m 3s,19.4,25.2,989.5,0.0000
27h 15m 3s,19.2,25.4,989.5,0.0000
27h 20m 3s,19.0,25.5,989.5,0.0000
27h 25m 3s,18.8,26.0,989.7,0.0000
27h 30m 3s,18.6,26.6,989.7,0.0000
27h 35m 3s,18.5,27.2,989.8,0.0000
27h 40m 3s,18.3,27.4,989.9,0.0000
27h 45m 3s,18.2,28.1,990.0,0.0000
27h 50m 3s,18.0,28.6,990.2,0.0000
27h 55m 3s,17.9,29.3,990.3,0.0000
28h 0m 3s,17.6,30.0,990.4,0.0000
28h 5m 3s,17.5,30.4,990.3,0.0000
28h 10m 3s,17.4,31.1,990.4,0.0000
28h 15m 3s,17.3,31.6,990.4,0.0000
28h 20m 3s,17.1,31.9,990.4,0.0000
28h 25m 3s,16.9,32.3,990.5,0.0000
28h 30m 3s,16.9,31.4,990.5,0.0000
28h 35m 3s,16.7,31.8,990.6,0.0000
28h 40m 3s,16.6,31.9,990.6,0.0000
28h 45m 3s,16.5,31.8,990.6,0.0000
28h 50m 3s,16.3,32.3,990.6,0.0000
28h 55m 3s,16.1,32.6,990.7,0.0000
29h 0m 3s,16.0,32.6,990.8,0.0000
29h 5m 3s,15.9,33.2,990.8,0.0000
29h 10m 3s,15.8,33.1,990.8,0.0000
29h 15m 3s,15.7,33.2,990.8,0.0000
29h 20m 3s,15.5,33.6,990.9,0.0000
29h 25m 3s,15.3,34.1,990.8,0.0000
29h 30m 3s,15.2,34.2,990.9,0.0000
29h 35m 3s,15.1,34.6,990.9,0.0000
29h 40m 3s,14.9,35.0,990.8,0.0000
29h 45m 3s,14.8,35.0,990.8,0.0000
29h 50m 3s,14.7,35.2,990.8,0.0000
29h 55m 3s,14.6,35.1,990.8,0.0000
30h 0m 3s,14.5,35.3,990.9,0.0000
30h 5m 3s,14.4,35.4,990.9,0.0000
30h 10m 3s,14.4,35.0,990.9,0.0000
30h 15m 3s,14.4,35.1,990.9,0.0000
30h 20m 3s,14.1,35.3,990.9,0.0000
30h 25m 3s,14.0,35.7,990.9,0.0000
30h 30m 3s,14.1,36.0,990.8,0.0000
30h 35m 3s,14.0,36.2,990.8,0.0000
30h 40m 3s,13.8,37.0,990.9,0.0000
30h 45m 3s,13.8,36.3,991.0,0.0000
30h 50m 3s,13.7,36.4,990.9,0.0000
30h 55m 3s,13.6,36.9,990.9,0.0000
31h 0m 3s,13.5,37.5,990.8,0.0000
31h 5m 3s,13.5,37.7,990.8,0.0000
