timestamp,temperature_c,humidity_pct,pressure_hpa,rainfall_mm
0h 5m 0s,23.6,36.7,983.6,0.0000
0h 10m 0s,23.8,36.7,983.7,0.0000
0h 15m 0s,23.9,35.9,983.6,0.0000
0h 20m 0s,23.9,35.9,983.5,0.0000
0h 25m 0s,24.0,35.4,983.6,0.0000
0h 30m 0s,24.0,35.3,983.5,0.0000
0h 35m 0s,24.0,35.1,983.3,0.0000
0h 40m 0s,23.9,35.2,983.3,0.0000
0h 45m 0s,23.9,34.9,983.3,0.0000
0h 50m 0s,23.9,34.6,983.2,0.0000
0h 55m 0s,23.9,34.8,983.3,0.0000
1h 0m 0s,23.8,35.1,983.2,0.0000
1h 5m 0s,23.7,35.2,983.1,0.0000
1h 10m 0s,23.6,35.9,983.1,0.0000
1h 15m 0s,23.5,36.7,983.1,0.0000
1h 20m 0s,23.4,37.3,983.1,0.0000
1h 25m 0s,23.3,37.4,983.2,0.0000
1h 30m 0s,23.3,37.0,983.1,0.0000
1h 35m 0s,23.3,37.1,983.1,0.0000
1h 40m 0s,23.3,37.0,983.2,0.0000
1h 45m 0s,23.3,37.1,983.1,0.0000
1h 50m 0s,23.3,37.3,983.3,0.0000
1h 55m 0s,23.3,36.8,983.2,0.0000
2h 0m 0s,23.3,36.4,983.3,0.0000
2h 5m 0s,23.3,36.0,983.2,0.0000
2h 10m 0s,23.4,35.6,983.2,0.0000
2h 15m 0s,23.3,35.8,983.2,0.0000
2h 20m 0s,23.3,35.7,983.1,0.0000
2h 25m 0s,23.3,35.1,983.1,0.0000
2h 30m 0s,23.3,35.5,983.1,0.0000
2h 35m 0s,23.3,35.2,983.1,0.0000
2h 40m 0s,23.2,35.3,983.0,0.0000
2h 45m 0s,23.2,35.3,983.0,0.0000
2h 50m 0s,23.2,34.9,983.0,0.0000
2h 55m 0s,23.2,34.9,983.0,0.0000
3h 0m 0s,23.2,34.9,983.0,0.0000
3h 5m 0s,23.3,34.4,982.8,0.0000
3h 10m 0s,23.3,34.5,982.9,0.0000
3h 15m 0s,23.3,34.5,982.6,0.0000
3h 20m 0s,23.3,34.5,982.6,0.0000
3h 25m 0s,23.2,34.9,982.5,0.0000
3h 30m 0s,23.2,35.1,982.5,0.0000
3h 35m 0s,23.1,35.5,982.6,0.0000
