timestamp,temperature_c,humidity_pct,pressure_hpa,rainfall_mm
0h 5m 0s,20.6,55.8,984.4,0.0000
0h 10m 0s,20.8,54.2,984.5,0.0000
0h 15m 0s,20.9,53.2,984.5,0.0000
0h 20m 0s,20.9,52.7,984.5,0.0000
0h 25m 0s,20.9,52.7,984.6,0.0000
0h 30m 0s,20.8,52.7,984.5,0.0000
0h 35m 0s,20.7,53.0,984.6,0.0000
0h 40m 0s,21.0,52.2,984.6,0.0000
0h 45m 0s,20.9,52.6,984.7,0.0000
0h 50m 0s,20.9,52.8,984.7,0.0000
0h 55m 0s,20.4,54.4,984.7,0.0000
1h 0m 0s,20.4,55.0,984.7,0.0000
1h 5m 0s,20.5,55.7,984.7,0.0000
1h 10m 0s,20.7,55.7,984.8,0.0000
1h 15m 0s,20.7,56.1,984.8,0.0000
1h 20m 0s,20.6,56.6,984.8,0.0000
1h 25m 0s,21.0,55.6,984.8,0.2794
1h 30m 0s,21.3,54.9,984.8,0.0000
1h 35m 0s,21.2,54.8,984.9,0.0000
1h 40m 0s,21.3,54.3,984.9,0.0000
1h 45m 0s,21.3,54.2,984.8,0.0000
1h 50m 0s,21.3,54.3,984.9,0.0000
1h 55m 0s,21.4,54.3,984.9,0.0000
2h 0m 0s,21.3,54.2,984.9,0.0000
2h 5m 0s,21.3,54.2,984.9,0.0000
2h 10m 0s,21.3,54.3,985.0,0.0000
2h 15m 0s,21.2,55.0,985.0,0.0000
2h 20m 0s,20.9,56.5,985.1,0.0000
2h 25m 0s,20.9,56.8,985.1,0.0000
2h 30m 0s,20.9,57.0,985.0,0.0000
2h 35m 0s,20.9,57.1,985.1,0.0000
2h 40m 0s,20.9,57.3,985.2,0.0000
2h 45m 0s,20.9,57.2,985.2,0.0000
2h 50m 0s,21.0,57.1,985.1,0.0000
2h 55m 0s,21.0,57.1,985.2,0.0000
3h 0m 0s,21.0,57.0,985.1,0.0000
3h 5m 0s,21.1,56.7,985.0,0.0000
3h 10m 0s,21.0,56.4,984.9,0.0000
3h 15m 0s,20.9,56.4,984.9,0.0000
3h 20m 0s,20.7,56.4,984.9,0.0000
3h 25m 0s,20.5,56.9,985.0,0.0000
3h 30m 0s,20.4,57.2,984.9,0.0000
3h 35m 0s,20.4,57.4,984.8,0.0000
3h 40m 0s,20.3,57.5,984.8,0.0000
3h 45m 0s,20.2,57.6,984.9,0.0000
3h 50m 0s,20.2,57.9,984.8,0.0000
3h 55m 0s,20.0,58.2,984.8,0.0000
4h 0m 0s,20.0,58.3,984.9,0.2794
4h 5m 0s,20.1,58.4,985.0,0.2794
4h 10m 0s,20.2,58.5,985.0,0.0000
4h 15m 0s,20.4,58.5,985.0,0.0000
4h 20m 0s,20.5,58.2,985.0,0.0000
4h 25m 0s,20.5,58.1,985.1,0.0000
4h 30m 0s,20.4,58.1,985.2,0.0000
4h 35m 0s,20.5,58.0,985.2,0.2794
4h 40m 0s,20.4,57.7,985.1,0.0000
4h 45m 0s,20.4,57.1,985.2,0.0000
4h 50m 0s,20.3,56.8,985.2,0.0000
4h 55m 0s,20.2,56.6,985.3,0.0000
5h 0m 0s,20.2,56.6,985.2,0.0000
5h 5m 0s,20.2,56.4,985.1,0.0000
5h 10m 0s,20.1,56.4,985.1,0.0000
5h 15m 0s,20.1,56.2,985.1,0.0000
5h 20m 0s,20.0,56.0,985.1,0.0000
5h 25m 0s,19.9,56.0,985.1,0.0000
5h 30m 0s,19.7,56.2,985.0,0.0000
5h 35m 0s,19.6,55.9,985.0,0.0000
5h 40m 0s,19.5,55.5,984.9,0.0000
5h 45m 0s,19.3,55.5,984.9,0.0000
5h 50m 0s,19.2,55.6,984.8,0.0000
5h 55m 0s,19.4,54.3,984.8,0.0000
6h 0m 0s,19.4,54.1,984.8,0.0000
6h 5m 0s,19.4,54.0,984.8,0.0000
6h 10m 0s,19.4,54.3,984.8,0.0000
6h 15m 0s,19.4,54.3,984.9,0.0000
6h 20m 0s,19.3,54.2,984.9,0.0000
6h 25m 0s,19.2,54.6,985.0,0.0000
6h 30m 0s,19.1,55.1,985.0,0.0000
6h 35m 0s,18.5,56.8,984.9,0.0000
6h 40m 0s,18.4,57.5,984.9,0.0000
6h 45m 0s,18.4,57.9,984.8,0.2794
6h 50m 0s,18.5,58.1,984.8,0.0000
6h 55m 0s,18.7,57.9,984.9,0.0000
7h 0m 0s,19.9,57.2,985.1,0.0000
7h 5m 0s,22.3,53.2,985.0,0.2794
7h 10m 0s,22.7,52.3,985.1,0.0000
7h 15m 0s,23.4,49.9,985.1,0.0000
7h 20m 0s,23.1,49.9,985.1,0.2794
7h 25m 0s,23.0,49.7,985.2,0.0000
7h 30m 0s,22.8,49.4,985.3,0.0000
7h 35m 0s,22.7,49.3,985.2,0.0000
7h 40m 1s,22.6,49.7,985.1,0.0000
7h 45m 1s,22.6,49.5,985.1,0.0000
7h 50m 1s,22.7,48.7,985.1,0.2794
7h 55m 1s,23.0,47.6,985.1,0.0000
8h 0m 1s,23.4,46.4,985.0,0.0000
8h 5m 1s,23.6,45.0,985.1,0.0000
8h 10m 1s,24.0,44.5,985.1,0.0000
8h 15m 1s,24.8,43.5,985.1,0.0000
8h 20m 1s,25.3,41.1,985.2,0.0000
8h 25m 1s,25.6,40.5,985.2,0.0000
8h 30m 1s,26.4,38.9,985.3,0.0000
8h 35m 1s,28.4,36.1,985.3,0.0000
8h 40m 1s,29.4,32.7,985.2,0.0000
8h 45m 1s,30.7,30.1,985.2,0.0000
8h 50m 1s,32.1,26.9,985.3,0.0000
8h 55m 1s,33.0,26.5,985.2,0.0000
9h 0m 1s,34.7,23.8,985.2,0.0000
9h 5m 1s,35.7,21.7,985.3,0.0000
9h 10m 1s,36.5,20.3,985.4,0.0000
9h 15m 1s,37.5,18.6,985.3,0.0000
9h 20m 1s,38.0,18.3,985.3,0.2794
9h 25m 1s,37.0,18.4,985.3,0.0000
9h 30m 1s,35.8,19.0,985.2,0.0000
9h 35m 1s,35.8,19.5,985.1,0.0000
9h 40m 1s,37.0,18.9,985.0,0.0000
9h 45m 1s,38.5,16.7,985.0,0.0000
9h 50m 1s,39.2,15.6,985.0,0.0000
9h 55m 1s,39.2,14.9,985.0,0.0000
10h 0m 1s,39.9,13.8,984.9,0.0000
10h 5m 1s,40.4,13.2,985.0,0.0000
10h 10m 1s,40.7,13.3,985.0,0.0000
10h 15m 1s,41.4,14.8,985.0,0.0000
10h 20m 1s,41.2,13.3,984.9,0.0000
10h 25m 1s,41.3,13.3,985.0,0.2794
10h 30m 1s,41.4,13.6,984.9,0.2794
10h 35m 1s,41.2,13.2,984.9,0.2794
10h 40m 1s,42.2,13.2,984.9,0.0000
10h 45m 1s,42.3,12.7,984.9,0.0000
10h 50m 1s,42.1,12.5,984.9,0.0000
10h 55m 1s,42.5,12.3,984.9,0.0000
11h 0m 1s,41.7,12.4,984.8,0.0000
11h 5m 1s,41.3,13.6,984.7,0.0000
11h 10m 1s,41.3,12.8,984.7,0.0000
11h 15m 1s,41.5,12.9,984.7,0.0000
11h 20m 1s,41.5,12.1,984.6,0.0000
11h 25m 1s,42.2,12.6,984.6,0.0000
11h 30m 1s,42.9,12.1,984.6,0.0000
11h 35m 1s,43.7,12.1,984.4,0.2794
11h 40m 1s,42.3,12.5,984.4,0.0000
11h 45m 1s,41.1,13.4,984.4,0.2794
