timestamp,temperature_c,humidity_pct,pressure_hpa,rainfall_mm
0h 5m 0s,14.2,33.8,988.9,0.0000
0h 10m 0s,14.3,34.2,988.7,0.0000
0h 15m 0s,14.4,34.7,988.8,0.0000
0h 20m 0s,14.1,34.9,988.7,0.0000
0h 25m 0s,13.9,35.1,988.7,0.0000
0h 30m 0s,13.6,36.3,988.6,0.0000
0h 35m 0s,13.3,37.1,988.6,0.0000
0h 40m 0s,13.2,38.5,988.6,0.0000
0h 45m 0s,13.1,38.3,988.6,0.0000
0h 50m 0s,12.9,38.5,988.7,0.0000
0h 55m 0s,12.8,38.7,988.6,0.0000
1h 0m 0s,12.7,39.0,988.6,0.0000
1h 5m 0s,12.6,39.2,988.6,0.0000
1h 10m 0s,12.6,40.4,988.5,0.0000
1h 15m 0s,12.5,38.3,988.5,0.0000
1h 20m 0s,12.4,37.9,988.6,0.0000
1h 25m 0s,12.2,37.9,988.6,0.0000
1h 30m 0s,11.9,38.9,988.6,0.0000
1h 35m 0s,11.7,39.5,988.7,0.0000
1h 40m 0s,11.5,40.3,988.9,0.0000
1h 45m 0s,11.2,41.4,989.0,0.0000
1h 50m 0s,10.9,42.7,989.0,0.0000
1h 55m 0s,10.6,43.7,989.1,0.0000
2h 0m 0s,10.3,44.9,989.2,0.0000
2h 5m 0s,10.1,46.5,989.3,0.0000
2h 10m 0s,9.9,47.1,989.4,0.0000
2h 15m 0s,9.6,47.9,989.5,0.0000
2h 20m 0s,9.5,48.3,989.7,0.0000
2h 25m 0s,9.3,49.5,989.8,0.0000
2h 30m 0s,9.0,50.8,989.9,0.0000
2h 35m 0s,8.8,52.5,990.0,0.0000
2h 40m 0s,8.6,53.6,990.1,0.0000
2h 45m 0s,8.3,54.8,990.2,0.0000
2h 50m 0s,8.1,55.3,990.2,0.0000
2h 55m 0s,8.0,56.2,990.3,0.0000
3h 0m 0s,7.8,57.6,990.4,0.0000
3h 5m 0s,7.6,58.9,990.5,0.0000
3h 10m 0s,7.5,59.7,990.6,0.0000
3h 15m 0s,7.3,60.3,990.7,0.0000
3h 20m 0s,7.2,60.6,990.8,0.0000
3h 25m 0s,7.0,61.6,990.9,0.0000
3h 30m 0s,6.9,62.9,991.0,0.0000
3h 35m 0s,6.8,63.9,991.1,0.0000
3h 40m 0s,6.6,64.8,991.1,0.0000
3h 45m 0s,6.5,66.5,991.3,0.0000
3h 50m 0s,6.3,67.6,991.3,0.0000
3h 55m 0s,6.2,69.0,991.4,0.0000
4h 0m 0s,6.0,70.3,991.5,0.0000
4h 5m 0s,5.9,70.8,991.6,0.0000
4h 10m 0s,5.8,70.8,991.6,0.0000
4h 15m 0s,5.8,70.5,991.7,0.0000
