timestamp,temperature_c,humidity_pct,pressure_hpa,rainfall_mm
0h 5m 0s,26.8,56.8,985.9,0.0000
0h 10m 0s,27.1,54.0,986.0,0.0000
0h 15m 0s,27.2,52.5,986.1,0.2794
0h 20m 0s,27.1,52.6,986.1,0.2794
0h 25m 0s,27.1,52.8,986.0,0.0000
0h 30m 0s,27.1,52.4,986.1,0.0000
0h 35m 0s,27.2,52.9,986.2,0.0000
0h 40m 0s,27.2,51.6,986.2,0.0000
0h 45m 0s,27.2,52.1,986.3,0.0000
0h 50m 0s,27.2,51.6,986.2,0.5588
0h 55m 0s,27.0,50.6,986.3,0.5588
1h 0m 0s,26.9,50.9,986.3,0.0000
1h 5m 0s,26.7,51.6,986.4,0.0000
1h 10m 0s,26.7,51.9,986.3,0.0000
1h 15m 0s,26.6,52.1,986.3,0.0000
1h 20m 0s,26.6,51.7,986.3,0.0000
1h 25m 0s,26.5,52.0,986.3,0.0000
1h 30m 0s,26.4,52.1,986.4,0.0000
1h 35m 0s,26.2,52.5,986.4,0.0000
1h 40m 0s,26.1,52.5,986.4,0.0000
1h 45m 0s,26.1,52.1,986.4,0.0000
1h 50m 0s,25.8,52.5,986.5,0.0000
1h 55m 0s,25.7,52.9,986.6,0.2794
2h 0m 0s,25.5,53.0,986.6,0.0000
2h 5m 0s,25.5,53.1,986.7,0.5588
2h 10m 0s,25.3,53.4,986.8,0.0000
2h 15m 0s,25.1,53.7,986.8,0.0000
2h 20m 0s,24.9,54.0,986.8,0.0000
2h 25m 0s,24.7,54.5,986.9,0.0000
2h 30m 0s,24.6,54.8,987.0,0.0000
2h 35m 0s,24.5,55.2,987.0,0.0000
2h 40m 0s,24.4,55.2,987.1,0.0000
2h 45m 0s,24.4,55.1,987.2,0.5588
2h 50m 0s,24.2,55.5,987.1,0.0000
2h 55m 0s,24.0,55.9,987.2,0.0000
3h 0m 0s,23.9,56.2,987.2,0.0000
3h 5m 0s,23.8,56.5,987.4,0.2794
3h 10m 0s,23.7,56.7,987.4,0.0000
3h 15m 0s,23.5,56.9,987.5,0.0000
3h 20m 0s,23.4,56.7,987.5,0.0000
3h 25m 0s,23.1,57.1,987.5,0.0000
3h 30m 0s,23.0,57.4,987.6,0.0000
3h 35m 0s,22.9,57.6,987.4,0.0000
3h 40m 0s,22.8,57.5,987.5,0.0000
3h 45m 0s,22.8,57.4,987.5,0.0000
3h 50m 0s,22.7,57.4,987.6,0.0000
3h 55m 0s,22.6,57.3,987.7,0.0000
4h 0m 0s,22.5,57.5,987.8,0.0000
4h 5m 0s,22.4,57.4,987.8,0.0000
4h 10m 0s,21.9,58.7,987.7,0.0000
4h 15m 0s,21.7,58.9,987.8,0.0000
4h 20m 0s,21.6,59.2,987.8,0.0000
4h 25m 0s,21.5,58.9,987.8,0.2794
4h 30m 0s,21.3,58.8,987.9,0.0000
4h 35m 0s,21.1,58.8,987.9,0.0000
4h 40m 0s,21.0,59.0,987.9,0.8382
4h 45m 0s,20.9,59.1,987.9,0.0000
4h 50m 0s,20.8,59.4,987.9,0.0000
4h 55m 0s,20.6,59.3,987.8,0.0000
5h 0m 0s,20.3,59.8,987.8,0.0000
5h 5m 0s,19.5,62.2,987.7,0.2794
5h 10m 0s,19.4,62.6,987.7,0.5588
5h 15m 0s,19.2,63.0,987.7,0.2794
5h 20m 0s,19.7,61.5,987.7,0.2794
5h 25m 0s,19.9,60.8,987.7,0.0000
5h 30m 0s,19.9,60.6,987.7,0.0000
5h 35m 0s,19.7,60.8,987.7,0.0000
5h 40m 0s,19.7,60.8,987.7,0.0000
5h 45m 0s,19.5,60.4,987.6,0.0000
5h 50m 0s,19.4,60.5,987.7,0.0000
5h 55m 0s,19.3,60.2,987.7,0.0000
6h 0m 0s,19.1,60.5,987.7,0.0000
6h 5m 0s,18.9,60.7,987.7,0.0000
6h 10m 0s,18.8,60.7,987.8,0.0000
6h 15m 0s,18.8,61.0,987.8,0.0000
6h 20m 0s,18.7,61.0,987.8,0.0000
6h 25m 0s,18.7,60.5,987.8,0.0000
6h 30m 0s,18.6,60.3,987.8,0.0000
6h 35m 0s,18.5,60.6,988.0,0.0000
6h 40m 0s,18.4,60.7,987.9,0.0000
6h 45m 0s,18.3,60.6,988.0,0.0000
6h 50m 0s,18.3,60.8,988.0,0.0000
6h 55m 0s,18.2,60.5,987.9,0.0000
7h 0m 0s,18.1,60.6,988.0,0.0000
7h 5m 0s,18.0,60.4,987.9,0.0000
7h 10m 0s,17.8,60.2,988.0,0.0000
7h 15m 0s,17.7,60.8,988.1,0.0000
7h 20m 0s,17.7,60.8,988.0,0.0000
7h 25m 0s,17.6,60.5,988.0,0.0000
7h 30m 0s,17.5,60.5,988.0,0.0000
7h 35m 0s,17.5,61.0,988.0,0.0000
7h 40m 1s,17.6,60.7,988.1,0.0000
7h 45m 1s,17.5,60.5,988.0,0.0000
7h 50m 1s,17.4,60.5,988.0,0.0000
7h 55m 1s,17.4,60.4,987.9,0.0000
8h 0m 1s,17.3,60.5,987.9,0.0000
8h 5m 1s,17.2,60.1,988.0,0.0000
8h 10m 1s,17.2,60.5,988.0,0.0000
8h 15m 1s,17.1,60.4,988.1,0.0000
8h 20m 1s,17.0,60.3,988.2,0.0000
8h 25m 1s,16.9,60.2,988.1,0.0000
8h 30m 1s,16.8,60.2,988.1,0.0000
8h 35m 1s,16.8,60.0,988.2,0.0000
8h 40m 1s,16.8,59.8,988.2,0.0000
8h 45m 1s,16.6,59.9,988.3,0.0000
8h 50m 1s,16.6,60.1,988.4,0.0000
8h 55m 1s,16.6,60.0,988.4,0.0000
9h 0m 1s,16.6,60.1,988.5,0.0000
9h 5m 1s,16.6,60.2,988.5,0.0000
9h 10m 1s,16.7,60.1,988.4,0.0000
9h 15m 1s,16.7,59.9,988.4,0.0000
9h 20m 1s,16.6,59.8,988.3,0.0000
9h 25m 1s,16.6,59.9,988.2,0.0000
9h 30m 1s,16.5,60.0,988.3,0.0000
9h 35m 1s,16.4,60.1,988.2,0.0000
9h 40m 1s,16.3,60.0,988.3,0.0000
9h 45m 1s,16.3,60.1,988.4,0.0000
9h 50m 1s,16.3,60.2,988.4,0.0000
9h 55m 1s,16.3,59.9,988.4,0.0000
10h 0m 1s,16.2,60.0,988.5,0.0000
10h 5m 1s,16.2,60.1,988.5,0.0000
10h 10m 1s,16.2,60.0,988.7,0.0000
10h 15m 1s,16.2,60.2,988.6,0.0000
10h 20m 1s,16.2,60.3,988.7,0.0000
10h 25m 1s,16.3,60.2,988.7,0.0000
10h 30m 1s,16.2,60.1,988.8,0.0000
10h 35m 1s,16.1,60.1,988.7,0.0000
10h 40m 1s,16.2,60.3,988.8,0.0000
10h 45m 1s,16.1,60.5,988.8,0.0000
10h 50m 1s,16.1,60.4,988.8,0.0000
10h 55m 1s,16.1,60.2,988.8,0.0000
11h 0m 1s,16.1,60.3,988.9,0.0000
11h 5m 1s,16.1,60.5,988.9,0.0000
11h 10m 1s,16.2,60.5,989.0,0.0000
11h 15m 1s,16.1,60.3,989.0,0.0000
11h 20m 1s,16.0,60.2,989.0,0.0000
11h 25m 1s,16.0,60.2,989.0,0.0000
11h 30m 1s,16.0,59.9,989.1,0.0000
11h 35m 1s,16.1,59.8,989.2,0.0000
11h 40m 1s,16.1,59.8,989.1,0.0000
11h 45m 1s,16.0,60.2,989.2,0.0000
11h 50m 1s,16.1,60.2,989.1,0.0000
11h 55m 1s,16.2,60.5,989.2,0.2794
12h 0m 1s,16.4,60.7,989.2,0.0000
12h 5m 1s,16.6,60.4,989.2,0.0000
12h 10m 1s,16.7,60.3,989.3,0.0000
12h 15m 1s,17.3,59.0,989.4,0.0000
12h 20m 1s,18.0,59.4,989.3,0.0000
12h 25m 1s,18.6,59.1,989.3,0.0000
12h 30m 1s,19.0,59.9,989.4,0.0000
12h 35m 1s,19.7,60.6,989.5,0.2794
12h 40m 1s,21.2,59.9,989.5,0.0000
12h 45m 1s,23.0,59.4,989.5,0.0000
12h 50m 1s,24.2,58.5,989.6,0.0000
12h 55m 1s,25.4,56.7,989.6,0.2794
13h 0m 1s,26.5,54.6,989.6,0.0000
13h 5m 1s,27.3,52.8,989.7,0.0000
13h 10m 1s,27.5,51.2,989.7,0.0000
13h 15m 1s,28.1,49.8,989.7,0.0000
13h 20m 1s,28.7,48.3,989.8,0.0000
13h 25m 1s,28.6,48.5,989.7,0.0000
13h 30m 1s,28.5,47.2,989.7,0.0000
13h 35m 1s,28.3,48.6,989.9,0.0000
13h 40m 1s,28.0,48.3,989.9,0.0000
13h 45m 1s,27.8,46.6,990.1,0.2794
13h 50m 1s,27.4,48.0,990.1,0.0000
13h 55m 1s,27.8,47.6,990.0,0.0000
14h 0m 1s,28.3,45.8,990.1,0.2794
14h 5m 1s,28.7,46.1,990.3,0.0000
14h 10m 1s,29.1,42.9,990.3,0.0000
14h 15m 1s,29.5,41.1,990.3,0.0000
14h 20m 1s,29.8,40.3,990.3,0.0000
14h 25m 1s,30.5,39.1,990.4,0.2794
14h 30m 1s,31.2,38.1,990.5,0.0000
14h 35m 1s,31.9,36.7,990.5,0.0000
14h 40m 1s,32.7,35.2,990.6,0.0000
14h 45m 1s,33.7,33.0,990.6,0.0000
14h 50m 1s,33.5,33.6,990.6,0.0000
14h 55m 1s,33.8,31.9,990.7,0.0000
15h 0m 1s,33.7,32.6,990.7,0.0000
15h 5m 1s,34.1,32.2,990.7,0.0000
15h 10m 1s,34.8,31.2,990.7,0.0000
15h 15m 1s,35.8,29.7,990.7,0.0000
15h 20m 1s,36.9,28.0,990.7,0.0000
15h 25m 1s,37.6,25.5,990.7,0.0000
15h 30m 1s,37.9,23.1,990.6,0.0000
15h 35m 1s,38.2,21.4,990.7,0.2794
15h 40m 1s,38.2,22.1,990.7,0.2794
