timestamp,temperature_c,humidity_pct,pressure_hpa,rainfall_mm
0h 5m 0s,29.9,36.1,983.0,0.2794
0h 10m 0s,30.3,35.2,983.1,0.2794
0h 15m 0s,30.5,35.3,983.0,0.0000
0h 20m 0s,30.4,35.2,983.1,0.0000
0h 25m 0s,30.4,34.8,983.1,0.2794
0h 30m 0s,30.3,35.1,983.2,0.0000
0h 35m 0s,30.1,35.2,983.3,0.0000
0h 40m 0s,30.1,35.5,983.2,0.0000
0h 45m 0s,29.9,35.6,983.2,0.0000
0h 50m 0s,29.8,35.8,983.2,0.0000
0h 55m 0s,29.8,35.9,983.2,0.0000
1h 0m 0s,29.7,36.3,983.2,0.0000
1h 5m 0s,29.5,36.6,983.2,0.0000
1h 10m 0s,29.4,36.8,983.2,0.0000
1h 15m 0s,29.2,37.1,983.2,0.0000
1h 20m 0s,29.2,37.4,983.2,0.0000
1h 25m 0s,29.1,37.6,983.3,0.5588
1h 30m 0s,28.9,38.0,983.3,0.2794
1h 35m 0s,28.8,38.1,983.4,0.0000
1h 40m 0s,28.8,38.3,983.5,0.0000
1h 45m 0s,28.7,38.6,983.6,0.0000
1h 50m 0s,28.6,39.0,983.7,0.0000
1h 55m 0s,28.4,39.3,983.7,0.0000
2h 0m 0s,28.2,39.9,983.7,0.0000
2h 5m 0s,28.1,40.3,983.8,0.0000
2h 10m 0s,28.0,40.4,983.8,0.0000
2h 15m 0s,28.0,40.7,983.8,0.0000
2h 20m 0s,28.0,40.8,983.8,0.0000
2h 25m 0s,28.0,41.2,983.8,0.0000
2h 30m 0s,27.9,41.4,983.8,0.0000
2h 35m 0s,27.9,41.4,983.7,0.0000
2h 40m 0s,27.9,41.7,983.6,0.0000
2h 45m 0s,27.9,41.8,983.7,0.0000
2h 50m 0s,28.0,41.7,983.8,0.0000
2h 55m 0s,28.0,41.6,983.8,0.0000
3h 0m 0s,28.0,41.9,983.6,0.0000
3h 5m 0s,28.1,41.5,983.6,0.0000
3h 10m 0s,28.2,41.3,983.7,0.0000
3h 15m 0s,28.2,41.4,983.7,0.0000
3h 20m 0s,28.2,41.5,983.7,0.0000
3h 25m 0s,28.2,41.5,983.7,0.0000
3h 30m 0s,28.3,41.2,983.6,0.0000
3h 35m 0s,28.4,41.0,983.7,0.2794
3h 40m 0s,28.4,41.1,983.6,0.0000
3h 45m 0s,28.5,40.6,983.5,0.0000
