timestamp,temperature_c,humidity_pct,pressure_hpa,rainfall_mm
0h 5m 0s,15.9,62.2,985.4,0.0000
0h 10m 0s,15.9,62.2,985.4,0.0000
0h 15m 0s,15.9,62.4,985.5,0.0000
0h 20m 0s,15.8,62.8,985.5,0.0000
0h 25m 0s,15.7,63.1,985.5,0.0000
0h 30m 0s,15.7,63.2,985.5,0.0000
0h 35m 0s,15.7,63.3,985.5,0.0000
0h 40m 0s,15.7,63.1,985.6,0.0000
0h 45m 0s,15.7,63.1,985.7,0.0000
0h 50m 0s,15.6,63.1,985.8,0.0000
0h 55m 0s,15.6,63.3,985.8,0.0000
1h 0m 0s,15.5,63.5,986.0,0.0000
1h 5m 0s,15.4,63.8,985.9,0.0000
1h 10m 0s,15.4,64.1,986.0,0.0000
1h 15m 0s,15.3,64.4,986.0,0.0000
1h 20m 0s,15.3,64.5,986.0,0.0000
1h 25m 0s,15.2,64.9,986.0,0.0000
1h 30m 0s,15.1,65.3,986.1,0.0000
1h 35m 0s,15.0,65.6,986.0,0.0000
1h 40m 0s,14.9,66.1,986.0,0.0000
1h 45m 0s,14.8,66.6,986.1,0.0000
1h 50m 0s,14.7,67.0,986.1,0.0000
1h 55m 0s,14.7,67.3,986.1,0.0000
2h 0m 0s,14.6,67.8,986.1,0.0000
2h 5m 0s,14.5,68.2,986.1,0.0000
2h 10m 0s,14.4,68.6,986.0,0.0000
2h 15m 0s,14.3,69.0,986.0,0.0000
2h 20m 0s,14.3,69.5,985.9,0.0000
2h 25m 0s,14.2,69.7,985.9,0.0000
2h 30m 0s,14.2,69.9,985.8,0.0000
2h 35m 0s,14.2,70.1,985.8,0.0000
2h 40m 0s,14.2,70.2,985.9,0.0000
2h 45m 0s,14.2,70.2,986.0,0.0000
2h 50m 0s,14.2,70.1,985.9,0.0000
2h 55m 0s,14.1,70.3,985.9,0.0000
3h 0m 0s,14.1,70.5,985.8,0.0000
3h 5m 0s,14.1,70.5,985.8,0.0000
3h 10m 0s,14.0,70.9,985.7,0.0000
3h 15m 0s,13.9,71.1,985.8,0.0000
3h 20m 0s,13.9,71.3,985.8,0.0000
3h 25m 0s,13.8,71.6,985.9,0.0000
3h 30m 0s,13.7,71.7,985.9,0.0000
3h 35m 0s,13.7,71.8,985.8,0.0000
3h 40m 0s,13.6,72.0,985.8,0.0000
3h 45m 0s,13.6,72.1,985.8,0.0000
3h 50m 0s,13.5,72.1,985.8,0.0000
3h 55m 0s,13.5,72.1,985.8,0.0000
4h 0m 0s,13.5,72.0,985.8,0.0000
4h 5m 0s,13.5,71.9,985.9,0.0000
4h 10m 0s,13.4,71.9,985.9,0.0000
4h 15m 0s,13.4,72.0,985.9,0.0000
4h 20m 0s,13.3,72.3,985.8,0.0000
4h 25m 0s,13.3,72.4,985.8,0.0000
4h 30m 0s,13.3,72.6,985.6,0.0000
4h 35m 0s,13.2,72.8,985.4,0.0000
4h 40m 0s,13.2,72.9,985.3,0.0000
4h 45m 0s,13.2,73.1,985.4,0.0000
4h 50m 0s,13.1,73.3,985.2,0.0000
4h 55m 0s,13.1,73.4,985.3,0.0000
5h 0m 0s,13.0,73.6,985.3,0.0000
5h 5m 0s,13.0,73.7,985.4,0.0000
5h 10m 0s,12.9,74.1,985.5,0.0000
5h 15m 0s,12.8,74.4,985.4,0.0000
5h 20m 0s,12.7,74.8,985.3,0.0000
5h 25m 0s,12.7,75.2,985.1,0.0000
5h 30m 0s,12.6,75.7,985.2,0.0000
5h 35m 0s,12.5,76.2,985.1,0.0000
5h 40m 0s,12.4,76.6,985.2,0.0000
5h 45m 0s,12.4,76.7,985.4,0.0000
5h 50m 0s,12.3,76.9,985.4,0.0000
5h 55m 0s,12.3,77.1,985.3,0.0000
6h 0m 0s,12.3,77.3,985.2,0.0000
6h 5m 0s,12.4,77.2,985.2,0.0000
6h 10m 0s,12.3,77.3,985.3,0.0000
6h 15m 0s,12.2,77.6,985.2,0.0000
6h 20m 0s,12.1,77.9,985.2,0.0000
6h 25m 0s,12.1,78.1,985.2,0.0000
6h 30m 0s,12.1,78.3,985.3,0.0000
6h 35m 0s,12.1,78.5,985.3,0.0000
6h 40m 0s,12.0,78.8,985.5,0.0000
6h 45m 0s,12.0,78.9,985.4,0.0000
6h 50m 0s,12.0,79.0,985.4,0.0000
6h 55m 0s,12.0,79.2,985.5,0.0000
7h 0m 0s,11.9,79.4,985.5,0.0000
7h 5m 0s,11.9,79.6,985.4,0.0000
7h 10m 0s,11.9,79.7,985.3,0.0000
7h 15m 0s,11.9,79.8,985.3,0.0000
7h 20m 0s,11.9,79.8,985.2,0.0000
7h 25m 0s,11.9,79.7,985.3,0.0000
7h 30m 0s,11.9,79.7,985.2,0.0000
7h 35m 1s,11.9,79.8,985.0,0.0000
7h 40m 1s,11.9,80.0,984.9,0.0000
7h 45m 1s,11.9,80.1,984.9,0.0000
7h 50m 1s,12.0,80.0,984.8,0.0000
7h 55m 1s,12.0,79.9,984.6,0.0000
8h 0m 1s,12.0,79.8,984.5,0.0000
8h 5m 1s,12.1,79.7,984.5,0.0000
8h 10m 1s,12.1,79.6,984.4,0.0000
8h 15m 1s,12.1,79.6,984.4,0.0000
8h 20m 1s,12.1,79.6,984.4,0.0000
8h 25m 1s,12.1,79.7,984.3,0.0000
8h 30m 1s,12.1,79.7,984.3,0.0000
8h 35m 1s,12.1,79.7,984.3,0.0000
8h 40m 1s,12.1,79.6,984.2,0.0000
8h 45m 1s,12.1,79.5,984.2,0.0000
8h 50m 1s,12.1,79.5,984.1,0.0000
8h 55m 1s,12.1,79.6,984.0,0.0000
9h 0m 1s,12.2,79.4,983.9,0.0000
9h 5m 1s,12.2,79.1,983.8,0.0000
9h 10m 1s,12.3,78.8,983.8,0.0000
9h 15m 1s,12.3,78.7,983.8,0.0000
9h 20m 1s,12.3,78.6,983.8,0.0000
