week,n_hours,acc_A,acc_B,B_minus_A
1,168.0,0.7023809523809523,0.9047619047619048,0.20238095238095244
2,168.0,0.8809523809523809,0.8869047619047619,0.005952380952380931
3,170.0,0.7705882352941177,0.7705882352941177,0.0
4,166.0,0.8493975903614458,0.8493975903614458,0.0
5,168.0,0.9583333333333334,1.0,0.04166666666666663
6,164.0,0.8414634146341463,0.823170731707317,-0.018292682926829285
7,167.0,0.7664670658682635,0.7904191616766467,0.0239520958083832
8,165.0,0.7515151515151515,0.7515151515151515,0.0
9,165.0,0.7090909090909091,0.6848484848484848,-0.024242424242424288
10,166.0,0.6987951807228916,0.7349397590361446,0.03614457831325302
11,166.0,0.7409638554216867,0.6385542168674698,-0.10240963855421692
12,166.0,0.6927710843373494,0.6626506024096386,-0.030120481927710774
