Model,Accuracy,Precision,Recall,F1
Majority Baseline,0.7923115327009486,,,
A (Static),0.7803295057413879,0.41304347826086957,0.13701923076923078,0.20577617328519857
B (Adaptive),0.7908137793310035,0.49429657794676807,0.3125,0.38291605301914583
